AIRPORT_ID,AIRPORT_SEQ_ID,CITY_MARKET_ID,AIRPORT_WAC,,AIRPORT_NAME
12954,1295403,32575,91,,DEN
11292,1129202,30325,82,,SFO
14771,1477102,32457,91,,DEN
11423,1142304,31423,61,,APA
11315,1131502,31315,66,,DIK
11503,1150303,31503,82,,ISN
15016,1501603,31123,64,,DEN
12544,1254403,32544,36,,STL
10397,1039705,30397,34,,EGE
11109,1110902,30189,82,,EGE
12889,1288903,32211,85,,DEN
10372,1037203,30372,82,,GSP
10800,1080003,32575,91,,VCV
14869,1486903,34614,87,,COS
14100,1410002,34100,23,,BUR
11122,1112203,31122,88,,EGE
11433,1143302,31295,43,,BUR
13487,1348702,31650,63,,ASE
13851,1385103,33851,73,,PHX
10529,1052904,30529,11,,DEN
13796,1379604,32457,91,,COS
10558,1055803,30558,65,,DEN
13341,1334102,33198,64,,DEN
11233,1123302,31233,88,,ATL
11259,1125903,30194,74,,DFW
14831,1483104,32457,91,,DEN
10325,1032504,30325,82,,ATL
10423,1042302,30423,74,,ATL
11066,1106603,31066,44,,ATL
14792,1479201,34792,74,,CVG
10466,1046602,30466,81,,DTW
10747,1074702,30747,74,,FSD
11563,1156303,31563,87,,LAS
11921,1192102,31921,82,,SAN
14576,1457604,34576,22,,SLC
15370,1537002,34653,73,,DEN
11376,1137601,30977,41,,DEN
14570,1457002,34570,85,,DEN
11719,1171902,31719,82,,DEN
10590,1059004,30590,81,,DEN
13502,1350202,33502,82,,DEN
14288,1428803,34288,82,,YIP
11840,1184002,31840,51,,COS
11193,1119302,33105,52,,DEN
14747,1474703,30559,93,,CLE
11283,1128302,31283,62,,JAN
11468,1146802,31468,65,,LAX
12899,1289902,32899,65,,MIA
12902,1290203,32902,62,,RIC
12389,1238902,32389,66,,DEN
13204,1320402,31454,33,,SFO
13930,1393004,30977,41,,DEN
14492,1449202,34492,36,,DEN
11986,1198603,31986,43,,DEN
11097,1109702,31097,88,,COS
11278,1127803,30852,38,,BUF
11298,1129804,30194,74,,CRP
12266,1226603,31453,74,,ECP
12441,1244102,32441,88,,GPT
12888,1288802,32888,88,,GSP
12892,1289205,32575,91,,LBB
12992,1299204,32600,71,,LIT
13264,1326403,33264,92,,COS
13486,1348602,33486,84,,DEN
14057,1405702,34057,92,,AUS
14252,1425202,34252,93,,ORD
14679,1467903,33570,91,,SJC
14683,1468303,33214,74,,APA
14794,1479403,34794,87,,APA
14893,1489302,33192,91,,ASE
14908,1490803,32575,91,,LAS
10140,1014003,30140,86,,DEN
10721,1072102,30721,13,,DEN
10849,1084903,30849,84,,OAK
12264,1226402,30852,38,,PTK
13198,1319801,33198,64,,SLC
14262,1426204,34262,91,,GJT
14524,1452401,34524,38,,ENV
14689,1468902,34689,91,,DEN
10994,1099402,30994,37,,DEN
11042,1104203,30647,44,,OAK
13495,1349503,33495,72,,DEN
14122,1412202,30198,23,,MKE
14635,1463502,31714,33,,DEN
12278,1227803,30928,62,,IFP
14730,1473003,33044,52,,IFP
12339,1233904,32337,42,,DEN
14107,1410702,30466,81,,FNL
15304,1530402,33195,33,,MTJ
15412,1541203,35412,54,,PUB
13244,1324402,33244,54,,IFP
11413,1141304,30285,82,,IFP
14877,1487704,34877,62,,PUB
11638,1163805,31638,91,,OAK
12003,1200302,31895,84,,DEN
15919,1591902,31834,71,,CVG
11603,1160302,31603,92,,DEN
11618,1161802,31703,21,,COS
11884,1188402,31884,93,,DEN
15376,1537602,30436,81,,OKC
10713,1071302,30713,83,,DEN
13485,1348502,33485,45,,DEN
13367,1336703,33367,41,,DEN
10279,1027903,30279,74,,BFF
12896,1289605,32896,74,,DDC
13891,1389101,32575,91,,DEN
14457,1445702,34457,67,,EAR
10821,1082104,30852,35,,LBF
11057,1105703,31057,36,,LBL
10257,1025702,30257,22,,DEN
13871,1387102,33316,65,,DEN
13931,1393102,33667,38,,APA
10599,1059904,30599,51,,DEN
11003,1100303,31003,61,,PGA
10620,1062002,30620,84,,FMN
14814,1481402,30476,72,,DEN
14783,1478302,34783,64,,DEN
11648,1164802,31648,84,,ATY
12982,1298202,32982,2,,ISN
13342,1334205,33342,45,,DEN
11540,1154003,30615,74,,LAS
11697,1169704,32467,33,,GJT
10693,1069302,30693,54,,DEN
12191,1219102,31453,74,,DFW
13433,1343302,33304,66,,ICT
13964,1396403,33964,92,,BOS
14489,1448902,34489,92,,LAX
12451,1245102,31136,33,,LIT
10561,1056103,30561,91,,DEN
14193,1419304,33728,33,,COS
11775,1177502,31775,67,,DEN
12012,1201203,32012,82,,DEN
12094,1209402,34699,82,,COS
10643,1064301,30643,64,,LAX
15177,1517702,35177,82,,MSP
10950,1095002,30950,82,,MSP
12478,1247803,31703,22,,SLC
12953,1295302,31703,22,,DEN
11995,1199502,31995,36,,DEN
14512,1451202,34512,41,,DEN
10194,1019403,30194,74,,TUL
11267,1126702,31267,44,,DEN
11711,1171102,31711,86,,DEN
11447,1144703,31447,66,,LIT
13029,1302902,33029,65,,MSO
10627,1062702,30627,66,,TUS
14698,1469802,34236,91,,DEN
13158,1315803,33158,74,,COS
12758,1275803,32758,2,,ABQ
13830,1383002,33830,2,,ATL
10272,1027203,30272,82,,AUS
13303,1330303,32467,33,,CID
12156,1215603,32156,84,,COD
12519,1251902,32519,66,,CPR
12173,1217302,32134,2,,DFW
12217,1221702,30255,51,,GRR
11637,1163703,31637,66,,IAH
14534,1453402,34534,88,,JAC
10299,1029904,30299,1,,LIT
14120,1412002,34120,67,,MFR
12255,1225502,32255,62,,OMA
10221,1022103,30221,65,,ORD
10925,1092502,30925,65,,RDM
13200,1320002,33200,65,,SAN
15582,1558202,35582,87,,SDF
11865,1186502,31865,88,,SFO
14543,1454302,34543,88,,SFO
11092,1109202,31092,87,,SNA
14674,1467402,34674,86,,SUN
12280,1228002,32280,83,,COS
13232,1323202,30977,41,,LAX
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,COS
,,,,,DEN
,,,,,DEN
,,,,,GJT
,,,,,DEN
,,,,,DEN
,,,,,COS
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,ABQ
,,,,,BIL
,,,,,BOS
,,,,,BZN
,,,,,CVG
,,,,,DTW
,,,,,FLL
,,,,,IAD
,,,,,IAH
,,,,,LAS
,,,,,MCI
,,,,,MCO
,,,,,ORD
,,,,,PHL
,,,,,PSP
,,,,,RIC
,,,,,RNO
,,,,,SLC
,,,,,STL
,,,,,STL
,,,,,TUL
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,ABQ
,,,,,BOI
,,,,,DTW
,,,,,GRR
,,,,,MKE
,,,,,PDX
,,,,,PHL
,,,,,RNO
,,,,,RSW
,,,,,TUL
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,CLE
,,,,,COS
,,,,,DSM
,,,,,ICT
,,,,,OMA
,,,,,SLC
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,CMH
,,,,,DTW
,,,,,IAH
,,,,,IND
,,,,,MCO
,,,,,MCO
,,,,,MSO
,,,,,ORD
,,,,,ORD
,,,,,PHX
,,,,,STL
,,,,,TYS
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DFW
,,,,,IND
,,,,,MCI
,,,,,MSY
,,,,,SLC
,,,,,TUS
,,,,,SLC
,,,,,DEN
,,,,,DEN
,,,,,GJT
,,,,,DEN
,,,,,DTW
,,,,,DEN
,,,,,LAW
,,,,,DRO
,,,,,DEN
,,,,,DEN
,,,,,MTJ
,,,,,DFW
,,,,,SLN
,,,,,DEN
,,,,,STL
,,,,,COS
,,,,,DEN
,,,,,GUC
,,,,,BFI
,,,,,LAS
,,,,,SDF
,,,,,DEN
,,,,,DEN
,,,,,PDX
,,,,,DEN
,,,,,DEN
,,,,,MSP
,,,,,MSP
,,,,,DEN
,,,,,GRR
,,,,,DEN
,,,,,DEN
,,,,,COS
,,,,,GJT
,,,,,GTF
,,,,,PDX
,,,,,SAT
,,,,,COS
,,,,,ASE
,,,,,DEN
,,,,,DFW
,,,,,DEN
,,,,,GJT
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,ATL
,,,,,BOS
,,,,,DCA
,,,,,GEG
,,,,,ICT
,,,,,RDU
,,,,,SBA
,,,,,TPA
,,,,,TUS
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,ABQ
,,,,,BWI
,,,,,CHS
,,,,,CMH
,,,,,GEG
,,,,,SDF
,,,,,SLC
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,BHM
,,,,,CMH
,,,,,MSP
,,,,,TUL
,,,,,DEN
,,,,,MSN
,,,,,MSP
,,,,,RDU
,,,,,SAT
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,BIL
,,,,,ELP
,,,,,DEN
,,,,,CVG
,,,,,SLC
,,,,,DEN
,,,,,DEN
,,,,,BZN
,,,,,MSP
,,,,,SDF
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,AMA
,,,,,BZN
,,,,,CVG
,,,,,DAY
,,,,,GRR
,,,,,LBB
,,,,,MTJ
,,,,,ONT
,,,,,PHX
,,,,,PSP
,,,,,RDM
,,,,,SAT
,,,,,TUL
,,,,,DEN
,,,,,GJT
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,ATL
,,,,,EWR
,,,,,MCI
,,,,,PSP
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,CHS
,,,,,IND
,,,,,LGB
,,,,,MCI
,,,,,MSY
,,,,,MSY
,,,,,OMA
,,,,,ONT
,,,,,ORF
,,,,,SAT
,,,,,SEA
,,,,,SJC
,,,,,SMF
,,,,,TUS
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,ABQ
,,,,,BNA
,,,,,ELP
,,,,,MEM
,,,,,OKC
,,,,,XNA
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,CID
,,,,,IND
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,BIL
,,,,,SGF
,,,,,SHV
,,,,,TUS
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,COS
,,,,,DEN
,,,,,LAX
,,,,,GJT
,,,,,DFW
,,,,,DEN
,,,,,DEN
,,,,,ABQ
,,,,,DFW
,,,,,DEN
,,,,,GEG
,,,,,MSO
,,,,,MSP
,,,,,SGF
,,,,,LAX
,,,,,DEN
,,,,,DRO
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,BOI
,,,,,BZN
,,,,,CLT
,,,,,CMH
,,,,,CMH
,,,,,EUG
,,,,,FCA
,,,,,LIH
,,,,,MSN
,,,,,MSY
,,,,,PHL
,,,,,PHL
,,,,,RNO
,,,,,SFO
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,AUS
,,,,,ORF
,,,,,SAN
,,,,,SAT
,,,,,SJC
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,IND
,,,,,SAT
,,,,,DEN
,,,,,DEN
,,,,,MKE
,,,,,SNA
,,,,,DEN
,,,,,DEN
,,,,,MSP
,,,,,ICT
,,,,,DEN
,,,,,ORD
,,,,,MTJ
,,,,,BUR
,,,,,SDF
,,,,,SLC
,,,,,DEN
,,,,,CID
,,,,,IND
,,,,,DEN
,,,,,DEN
,,,,,ATL
,,,,,BIL
,,,,,CLE
,,,,,DRO
,,,,,FCA
,,,,,ICT
,,,,,MCI
,,,,,MEM
,,,,,MOT
,,,,,OMA
,,,,,SBA
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,BWI
,,,,,CID
,,,,,CLT
,,,,,CVG
,,,,,EWR
,,,,,GEG
,,,,,MFR
,,,,,ONT
,,,,,SJC
,,,,,SMF
,,,,,TUS
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,LGB
,,,,,MSP
,,,,,STL
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,PHX
,,,,,DEN
,,,,,DEN
,,,,,CID
,,,,,DEN
,,,,,CYS
,,,,,MEM
,,,,,DEN
,,,,,ORD
,,,,,MTJ
,,,,,DEN
,,,,,DEN
,,,,,LAX
,,,,,CLT
,,,,,MFR
,,,,,OTH
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DTW
,,,,,GRR
,,,,,IND
,,,,,MCI
,,,,,MKE
,,,,,MSY
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,FLL
,,,,,JAX
,,,,,MCI
,,,,,OAK
,,,,,OKC
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,ATL
,,,,,DFW
,,,,,OMA
,,,,,SDF
,,,,,GJT
,,,,,MEM
,,,,,MEM
,,,,,COS
,,,,,DEN
,,,,,FSD
,,,,,LAS
,,,,,GJT
,,,,,TYS
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,GJT
,,,,,RIC
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,BIL
,,,,,BOI
,,,,,BUR
,,,,,DSM
,,,,,EUG
,,,,,EUG
,,,,,MKE
,,,,,OKC
,,,,,PIT
,,,,,SLC
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,EWR
,,,,,PNS
,,,,,RDU
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,HDN
,,,,,DEN
,,,,,SDF
,,,,,DEN
,,,,,PHX
,,,,,DEN
,,,,,CLE
,,,,,DEN
,,,,,TUS
,,,,,DEN
,,,,,DEN
,,,,,AUS
,,,,,BDL
,,,,,DTW
,,,,,FLL
,,,,,LGA
,,,,,MSN
,,,,,MSP
,,,,,SEA
,,,,,TUL
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,GEG
,,,,,HOU
,,,,,LAX
,,,,,OKC
,,,,,PHX
,,,,,SFO
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,SFO
,,,,,COS
,,,,,OAK
,,,,,GUC
,,,,,DEN
,,,,,DEN
,,,,,COS
,,,,,AZA
,,,,,LAS
,,,,,LAX
,,,,,COS
,,,,,GJT
,,,,,DEN
,,,,,BKG
,,,,,CID
,,,,,FCA
,,,,,OKC
,,,,,OKC
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,IND
,,,,,PDX
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,ATL
,,,,,BDL
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DCA
,,,,,DEN
,,,,,DEN
,,,,,BUR
,,,,,CMH
,,,,,TUS
,,,,,DEN
,,,,,DEN
,,,,,BWI
,,,,,DSM
,,,,,FSD
,,,,,PSP
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
