UNIQUE_CARRIER_ENTITY,WAC,CARRIER_GROUP
30550,10,1
4530,10,1
30337,10,1
37760,10,1
30012,10,1
30474,10,1
30657,10,1
30780,10,1
30795,10,1
37868,10,1
37895,10,1
30911,10,1
30159,10,1
30336,10,1
30552,10,1
30297,10,1
37612,10,1
37817,10,1
30770,10,1
30126,10,1
30500,10,1
37637,10,1
37994,10,1
30342,10,1
30580,10,1
37762,10,1
30682,10,1
30560,10,1
30715,10,1
30353,10,1
30352,10,1
37763,10,1
37888,10,1
30670,10,1
10025,10,1
37887,10,1
37849,10,1
37899,10,1
37944,10,1
30861,10,1
30201,10,1
37700,10,1
37724,10,1
37793,10,1
37747,10,1
37942,10,1
37680,10,1
37701,10,1
37885,10,1
37731,10,1
37953,10,1
37782,10,1
37652,10,1
37744,10,1
37915,10,1
37874,10,1
37933,10,1
30145,10,1
37703,10,1
30072,10,1
37765,10,1
37910,10,1
30139,10,1
37886,10,1
37752,10,1
37772,10,1
37656,10,1
37710,10,1
30089,10,1
30446,10,1
37950,10,1
37940,10,1
30217,10,1
37929,10,1
37938,10,1
30228,10,1
37681,10,1
37956,10,1
30187,10,1
30153,10,1
37821,10,1
30237,10,1
37740,10,1
37905,10,1
37789,10,1
37757,10,1
30022,10,1
37948,10,1
37667,10,1
30251,10,1
30243,10,1
30278,10,1
37818,10,1
37711,10,1
37819,10,1
37669,10,1
37826,10,1
37844,10,1
30260,10,1
37859,10,1
37907,10,1
37768,10,1
37923,10,1
30266,10,1
30275,10,1
37743,10,1
37813,10,1
37785,10,1
37832,10,1
30323,10,1
37784,10,1
37908,10,1
37937,10,1
37792,10,1
37872,10,1
30284,10,1
37689,10,1
37957,10,1
37708,10,1
37943,10,1
37967,10,1
37916,10,1
37880,10,1
37806,10,1
37831,10,1
37707,10,1
30339,10,1
37801,10,1
30287,10,1
37704,10,1
30357,10,1
37672,10,1
30372,10,1
37696,10,1
30327,10,1
37709,10,1
37773,10,1
30321,10,1
37882,10,1
30397,10,1
37812,10,1
37919,10,1
37879,10,1
37788,10,1
37814,10,1
37853,10,1
37865,10,1
30402,10,1
37851,10,1
37692,10,1
37770,10,1
37658,10,1
37778,10,1
37751,10,1
30412,10,1
37931,10,1
37840,10,1
37961,10,1
37901,10,1
37823,10,1
37914,10,1
30438,10,1
37830,10,1
37653,10,1
37730,10,1
30447,10,1
37678,10,1
37781,10,1
30453,10,1
37867,10,1
37726,10,1
37856,10,1
30450,10,1
37745,10,1
37790,10,1
37852,10,1
30477,10,1
37769,10,1
30484,10,1
37794,10,1
30686,10,1
30501,10,1
37632,10,1
30595,10,1
37787,10,1
30496,10,1
30215,10,1
30495,10,1
30710,10,1
30497,10,1
37774,10,1
30502,10,1
37783,10,1
37834,10,1
37748,10,1
37753,10,1
37736,10,1
30754,10,1
37767,10,1
37848,10,1
37838,10,1
37798,10,1
30528,10,1
30394,10,1
37635,10,1
37946,10,1
30541,10,1
30533,10,1
37873,10,1
30567,10,1
37723,10,1
37829,10,1
37694,10,1
37786,10,1
37845,10,1
37958,10,1
37951,10,1
37815,10,1
37883,10,1
37684,10,1
30590,10,1
30382,10,1
30564,10,1
37949,10,1
37750,10,1
30561,10,1
30604,10,1
30609,10,1
37712,10,1
30610,10,1
37841,10,1
37739,10,1
37816,10,1
30614,10,1
30616,10,1
37718,10,1
37911,10,1
30623,10,1
37904,10,1
37909,10,1
37891,10,1
30362,10,1
37854,10,1
37893,10,1
30262,10,1
30629,10,1
37804,10,1
30661,10,1
37936,10,1
37666,10,1
30628,10,1
30643,10,1
37959,10,1
30641,10,1
37932,10,1
37670,10,1
37926,10,1
30653,10,1
37702,10,1
37676,10,1
30649,10,1
37954,10,1
37833,10,1
37717,10,1
37934,10,1
30655,10,1
30258,10,1
37800,10,1
37810,10,1
37835,10,1
30694,10,1
37921,10,1
37697,10,1
30678,10,1
30664,10,1
37828,10,1
37839,10,1
37917,10,1
30254,10,1
37955,10,1
37925,10,1
37935,10,1
37892,10,1
37738,10,1
30674,10,1
37714,10,1
37820,10,1
37824,10,1
30720,10,1
37871,10,1
37866,10,1
37777,10,1
30725,10,1
37690,10,1
37913,10,1
30705,10,1
37802,10,1
30426,10,1
37918,10,1
30208,10,1
30735,10,1
30767,10,1
37682,10,1
30786,10,1
30771,10,1
37855,10,1
37928,10,1
30709,10,1
37952,10,1
30779,10,1
37875,10,1
37797,10,1
37864,10,1
37897,10,1
37870,10,1
37713,10,1
37699,10,1
37729,10,1
37734,10,1
37927,10,1
37837,10,1
37941,10,1
37759,10,1
37912,10,1
37922,10,1
37857,10,1
37860,10,1
30815,10,1
37809,10,1
37715,10,1
37847,10,1
37795,10,1
30859,10,1
37741,10,1
37677,10,1
37939,10,1
30885,10,1
37898,10,1
37799,10,1
37735,10,1
37808,10,1
37846,10,1
37766,10,1
37881,10,1
37903,10,1
30921,10,1
37761,10,1
37843,10,1
37691,10,1
30554,10,1
30013,10,1
30920,10,1
30755,10,1
37876,10,1
4720,10,1
11010,10,3
10601,10,3
10600,10,3
1600,10,3
4590,10,2
38023,10,1
16016,10,3
16015,10,3
6015,10,3
6010,10,3
6720,10,3
19752,10,1
9750,10,1
9749,10,1
11033,10,3
6725,10,3
6705,10,1
30676,10,1
7040,10,1
2750,10,3
37971,10,1
6719,10,3
16203,10,1
6535,10,1
6534,10,1
6185,10,1
16650,10,2
6740,10,2
16008,10,1
6008,10,1
6007,10,1
80001,10,7
80020,10,7
80052,10,7
80007,10,7
80010,10,7
80014,10,7
80023,10,7
80049,10,7
80026,10,7
80028,10,7
80027,10,7
80044,10,7
80033,10,7
80005,10,7
80048,10,7
80003,10,7
80004,10,7
80017,10,7
80038,10,7
80055,10,7
80045,10,7
80016,10,7
80034,10,7
80002,10,7
80008,10,7
80030,10,7
80046,10,7
80021,10,7
80042,10,7
80057,10,7
80022,10,7
80009,10,7
80011,10,7
80012,10,7
80015,10,7
80018,10,7
80025,10,7
80036,10,7
80037,10,7
80043,10,7
80047,10,7
80039,10,7
80054,10,7
16151,10,2
16150,10,2
6150,10,2
90004,900,0
9224F,224,0
90008,900,0
90009,900,0
90154,482,0
90165,282,0
90024,482,0
90031,493,0
9419B,419,0
90034,224,0
90035,205,0
90037,900,0
90040,900,0
90043,900,0
90047,900,0
9303D,303,0
90050,461,0
90052,439,0
90053,493,0
90054,441,0
90055,632,0
90056,900,0
90059,900,0
90061,493,0
90065,900,0
90070,206,0
90078,900,0
90079,403,0
90082,832,0
90085,900,0
90087,900,0
90088,900,0
90089,900,0
90090,900,0
90091,804,0
90097,900,0
90099,900,0
9900M,900,0
90105,900,0
90106,900,0
90107,900,0
90109,676,0
9303B,303,0
90117,493,0
90121,900,0
90127,900,0
90128,106,0
90129,900,0
90136,647,0
90140,282,0
90141,766,0
90145,900,0
90146,900,0
90147,900,0
90148,273,0
80050,10,7
90151,900,0
9493A,493,0
9900N,900,0
9480A,497,0
9427E,427,0
9238A,238,0
9131A,131,0
9419C,419,0
9118A,118,0
9312B,312,0
9368B,368,0
9224G,224,0
9555A,555,0
9365A,365,0
9429B,429,0
9388B,388,0
9337B,337,0
9368C,368,0
9127B,127,0
9900F,900,0
9350A,350,0
9206A,206,0
9845A,845,0
9368A,368,0
9486A,486,0
9409A,409,0
9533A,533,0
9900A,900,0
9427B,427,0
9733A,733,0
9733B,733,0
9148B,148,0
9303A,303,0
9548A,548,0
9327A,327,0
9425A,425,0
9450A,450,0
9493E,493,0
9493F,493,0
9280A,280,0
9713A,713,0
9781A,781,0
9454A,454,0
9439A,439,0
9482B,482,0
9736B,736,0
9243A,243,0
9778A,778,0
9461A,461,0
9324B,324,0
9312A,312,0
9429D,429,0
9467A,467,0
9110A,110,0
9429E,429,0
9636A,636,0
9148C,148,0
9900J,900,0
9433A,433,0
9892A,892,0
9764A,764,0
9766A,766,0
9379A,379,0
9802A,802,0
9316B,316,0
9639A,639,0
9473A,473,0
9562A,562,0
9484B,484,0
9776A,776,0
9475A,475,0
9475B,489,0
9118B,118,0
9782A,782,0
9469A,469,0
9204A,204,0
6708,10,2
9493I,493,0
9324A,324,0
37963,10,1
37964,10,1
37966,10,1
37965,10,1
37968,10,1
37962,10,1
16710,10,1
6726,10,1
6723,10,1
37982,10,1
37985,10,1
37980,10,1
37978,10,1
37984,10,1
37975,10,1
37973,10,1
37972,10,1
37986,10,1
37983,10,1
37970,10,1
37974,10,1
37981,10,1
37977,10,1
16210,10,1
6570,10,1
6745,10,1
6709,10,1
37988,10,1
37989,10,1
37987,10,1
19323,10,3
19322,10,3
19321,10,3
9320,10,3
90094,368,0
6195,10,1
37990,10,1
6743,10,1
16230,10,1
6676,10,1
6675,10,1
9337A,337,0
16059,10,1
6058,10,1
6057,10,1
9644A,644,0
37993,10,1
37992,10,1
38005,10,1
9441A,441,0
90162,388,0
90166,900,0
9441B,441,0
9670A,670,0
80060,10,7
80059,10,7
9419A,419,0
38003,10,1
37998,10,1
37999,10,1
37969,10,1
38000,10,1
38015,10,1
90170,162,0
9429C,429,0
6014,10,1
9647A,647,0
38010,10,1
30475,10,1
37997,10,1
38016,10,1
38004,10,1
38001,10,1
38006,10,1
16034,10,1
6034,10,1
6033,10,1
16013,10,1
16250,10,1
6678,10,1
6677,10,1
38012,10,1
30131,10,1
30005,10,1
38008,10,1
38014,10,1
16025,10,1
6025,10,1
38019,10,1
38026,10,1
38021,10,1
38018,10,1
6889,10,1
16890,10,1
6890,10,1
38007,10,1
16202,10,1
6501,10,1
6500,10,1
6630,10,1
9316A,316,0
80062,10,7
80061,10,7
38020,10,1
38027,10,1
38022,10,1
6206,10,1
90176,450,0
4350,10,2
9824A,824,0
38035,10,1
38031,10,1
38028,10,1
38033,10,1
38030,10,1
16136,10,1
6137,10,1
6136,10,1
15045,10,2
5045,10,2
38040,10,1
38038,10,1
38041,10,1
9493K,493,0
16020,10,1
6023,10,1
6022,10,1
16212,10,1
6611,10,1
6610,10,1
16002,10,1
6002,10,1
6001,10,1
38037,10,1
37960,10,1
6580,10,2
11023,10,2
6707,10,1
9276A,276,0
15375,10,2
5375,10,2
80063,10,7
38042,10,1
38046,10,1
38043,10,1
38044,10,1
6788,10,1
30690,10,1
9900P,900,0
9427A,427,0
16703,10,1
38050,10,1
38052,10,1
90182,238,0
38054,10,1
10221,10,3
10220,10,3
10219,10,3
1220,10,3
16590,10,1
6625,10,1
6624,10,1
80035,10,7
38058,10,1
10285,10,3
10284,10,3
0A285,10,3
38047,10,1
38080,10,1
38048,10,1
38071,10,1
38073,10,1
38065,10,1
38063,10,1
38068,10,1
38057,10,1
38074,10,1
38062,10,1
38070,10,1
38078,10,1
38061,10,1
38069,10,1
38059,10,1
38072,10,1
38064,10,1
38079,10,1
6805,10,1
9281A,281,0
38055,10,1
6770,10,1
38056,10,1
38097,10,1
38067,10,1
38081,10,1
38075,10,1
38111,10,1
38095,10,1
38060,10,1
38082,10,1
38077,10,1
38066,10,1
38024,10,1
16080,10,1
6080,10,1
16675,10,1
6756,10,1
6759,10,1
9205A,205,0
9832A,832,0
9591A,591,0
38086,10,1
16204,10,1
6203,10,1
6202,10,1
38085,10,1
90191,900,0
38087,10,1
38094,10,1
38093,10,1
38089,10,1
38098,10,1
38091,10,1
38088,10,1
38090,10,1
37836,10,1
6012,10,1
90150,327,0
38108,10,1
38114,10,1
38107,10,1
38102,10,1
38106,10,1
38104,10,1
38103,10,1
38105,10,1
9162C,162,0
9591B,591,0
38100,10,1
80067,10,7
38113,10,1
38112,10,1
6785,10,1
6021,10,1
30090,10,1
9388A,388,0
9729A,729,0
38116,10,1
38110,10,1
38119,10,1
38117,10,1
38051,10,1
38120,10,1
6550,10,1
6549,10,1
38101,10,1
16027,10,1
6027,10,1
6026,10,1
9316C,316,0
10262,10,3
10261,10,3
10260,10,3
1260,10,3
9736A,736,0
80068,10,7
9493C,493,0
38123,10,1
9749A,749,0
6722,10,1
30645,10,1
16199,10,1
6201,10,1
16640,10,1
6728,10,1
6727,10,1
9900K,900,0
38121,10,1
38124,10,1
38122,10,1
90197,900,0
9507A,507,0
10052,10,3
10050,10,3
10049,10,3
0A050,10,3
9900B,900,0
38127,10,1
9106A,106,0
90201,900,0
6710,10,1
37889,10,1
90013,162,0
16702,10,1
6702,10,1
6701,10,1
38134,10,1
37979,10,1
38128,10,1
38131,10,1
38133,10,1
38129,10,1
38132,10,1
38130,10,1
9679A,679,0
12681,10,3
12680,10,3
2680,10,3
80069,10,7
9238B,238,0
38149,10,1
80070,10,7
38137,10,1
16876,10,1
16875,10,1
6880,10,1
6879,10,1
9900O,900,0
9736D,736,0
38136,10,1
38138,10,1
38140,10,1
38135,10,1
38144,10,1
38096,10,1
38157,10,1
38139,10,1
9337D,337,0
9224B,224,0
6906,10,1
6905,10,1
90188,273,0
38169,10,1
38143,10,1
38142,10,1
38146,10,1
38147,10,1
38141,10,1
38145,10,1
38153,10,1
9597A,597,0
9486B,486,0
38151,10,1
38152,10,1
9900D,900,0
9427C,427,0
9634A,634,0
9493J,493,0
90225,900,0
9148D,148,0
90232,900,0
9127A,127,0
9224D,224,0
2849,10,3
9238C,238,0
90226,900,0
9736C,736,0
38158,10,1
9493D,493,0
38160,10,1
38162,10,1
38161,10,1
9403A,403,0
16029,10,2
16028,10,2
6029,10,2
6028,10,2
9148A,148,0
38165,10,1
80072,10,7
30411,10,1
38167,10,1
38168,10,1
38170,10,1
38166,10,1
9493L,493,0
16883,10,1
6883,10,1
16915,10,1
6915,10,1
9277B,277,0
9110B,110,0
90133,388,0
9388K,388,0
9388G,388,0
9118C,118,0
9148E,148,0
9327B,327,0
9388D,388,0
9388C,388,0
9324C,324,0
9127C,127,0
16018,10,2
6018,10,2
9729B,729,0
9844A,844,0
16111,10,1
6111,10,1
6110,10,1
16950,10,1
80058,10,7
38173,10,1
38172,10,1
38174,10,1
38177,10,1
38175,10,1
38171,10,1
9409B,409,0
9388E,388,0
9277A,277,0
9233A,233,0
9106B,106,0
9427G,427,0
38204,10,1
9385A,385,0
16913,10,3
16912,10,3
16911,10,3
16910,10,3
6910,10,3
80053,10,7
38179,10,1
38205,10,1
38181,10,1
38184,10,1
38180,10,1
38182,10,1
38187,10,1
38188,10,1
38183,10,1
9385B,385,0
9153B,153,0
38195,10,1
16031,10,3
6031,10,3
9275A,275,0
9224E,224,0
9851A,851,0
9493M,493,0
38189,10,1
38190,10,1
38193,10,1
38194,10,1
38192,10,1
9388J,388,0
9427H,427,0
9388F,388,0
38199,10,1
38203,10,1
38198,10,1
38197,10,1
38202,10,1
38200,10,1
9403B,403,0
19757,10,1
19756,10,1
19755,10,1
9755,10,1
9754,10,1
6120,10,1
16664,10,1
6751,10,1
6748,10,1
16665,10,1
9327D,327,0
9736E,736,0
9565A,565,0
9388I,388,0
6711,10,1
