ORIGIN_CITY_NAME,ORIGIN
"Long Beach, CA",LGB
"Denver, CO",DEN
"San Francisco, CA",SFO
"Des Moines, IA",DSM
"Denver, CO",DEN
"Denver, CO",DEN
"Dickinson, ND",DIK
"Eagle, CO",EGE
"St. Louis, MO",STL
"CONCORD, NC",USA
"Atlanta, GA",ATL
"Denver, CO",DEN
"Colorado Springs, CO",COS
"Las Vegas, NV",LAS
"Aspen, CO",ASE
"Burbank, CA",BUR
"Eagle, CO",EGE
"Salt Lake City, UT",SLC
"Denver, CO",DEN
"Philadelphia, PA",PHL
"Atlanta, GA",ATL
"Atlanta, GA",ATL
"Atlanta, GA",ATL
"Colorado Springs, CO",COS
"Colorado Springs, CO",COS
"Casper, WY",CPR
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Detroit, MI",DTW
"Minneapolis, MN",MSP
"Oklahoma City, OK",OKC
"San Francisco, CA",SFO
"Salt Lake City, UT",SLC
"Hartford, CT",BDL
"Colorado Springs, CO",COS
"Oakland, CA",OAK
"Scottsbluff, NE",BFF
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Kansas City, MO",MKC
"Denver, CO",DEN
"Colorado Springs, CO",COS
"Cheyenne, WY",CYS
"Cheyenne, WY",CYS
"Dallas, TX",DAL
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"San Jose, CA",SJC
"Colorado Springs, CO",COS
"Denver, CO",APA
"Denver, CO",APA
"Denver, CO",APA
"Austin, TX",AUS
"Columbus, OH",CMH
"Sugar Land, TX",SGR
"Denver, CO",DEN
"Phoenix, AZ",AZA
"Brownsville, TX",BRO
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Wendover, UT",ENV
"Grand Junction, CO",GJT
"Rochester, NY",ROC
"Tulsa, OK",TUL
"Denver, CO",DEN
"Chicago, IL",DPA
"Denver, CO",DEN
"Reno, NV",RNO
"Denver, CO",DEN
"Fort Collins/Loveland, CO",FNL
"Bullhead City, AZ",IFP
"Bullhead City, AZ",IFP
"Bullhead City, AZ",IFP
"Bullhead City, AZ",IFP
"Montrose/Delta, CO",MTJ
"Pueblo, CO",PUB
"Gadsden, AL",GAD
"Pueblo, CO",PUB
"Cincinnati, OH",CVG
"Denver, CO",DEN
"Colorado Springs, CO",COS
"Seattle, WA",SEA
"Scottsbluff, NE",BFF
"Denver, CO",DEN
"Denver, CO",APA
"Scottsbluff, NE",BFF
"Dodge City, KS",DDC
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Kearney, NE",EAR
"North Platte, NE",LBF
"Liberal, KS",LBL
"Liberal, KS",LBL
"Denver, CO",DEN
"Pueblo, CO",PUB
"Denver, CO",DEN
"Scottsbluff, NE",BFF
"Denver, CO",DEN
"Denver, CO",DEN
"Williston, ND",ISN
"Grand Junction, CO",GJT
"Las Vegas, NV",LAS
"Colorado Springs, CO",COS
"Colorado Springs, CO",COS
"Colorado Springs, CO",COS
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Orlando, FL",MCO
"Chicago, IL",ORD
"Raleigh/Durham, NC",RDU
"San Francisco, CA",SFO
"Salt Lake City, UT",SLC
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Detroit, MI",DTW
"Minneapolis, MN",MSP
"Minneapolis, MN",MSP
"Denver, CO",DEN
"Grand Rapids, MI",GRR
"Cody, WY",COD
"Colorado Springs, CO",COS
"Colorado Springs, CO",COS
"Colorado Springs, CO",COS
"Casper, WY",CPR
"Washington, DC",DCA
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Dallas/Fort Worth, TX",DFW
"Grand Junction, CO",GJT
"Houston, TX",IAH
"Jackson, WY",JAC
"Laramie, WY",LAR
"Los Angeles, CA",LAX
"Little Rock, AR",LIT
"Medford, OR",MFR
"Missoula, MT",MSO
"Chicago, IL",ORD
"Portland, OR",PDX
"Pasco/Kennewick/Richland, WA",PSC
"San Diego, CA",SAN
"San Antonio, TX",SAT
"St. George, UT",SGU
"Sacramento, CA",SMF
"Santa Ana, CA",SNA
"Albuquerque, NM",ABQ
"Hartford, CT",BDL
"Boston, MA",BOS
"Bozeman, MT",BZN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Washington, DC",IAD
"Houston, TX",IAH
"Houston, TX",IAH
"Kansas City, MO",MCI
"Orlando, FL",MCO
"Palm Springs, CA",PSP
"Palm Springs, CA",PSP
"Richmond, VA",RIC
"Reno, NV",RNO
"San Antonio, TX",SAT
"Santa Barbara, CA",SBA
"San Francisco, CA",SFO
"San Francisco, CA",SFO
"Santa Ana, CA",SNA
"St. Louis, MO",STL
"St. Louis, MO",STL
"Tulsa, OK",TUL
"Charleston, SC",CHS
"Cleveland, OH",CLE
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Detroit, MI",DTW
"Grand Rapids, MI",GRR
"New Orleans, LA",MSY
"Pittsburgh, PA",PIT
"Reno, NV",RNO
"Fort Myers, FL",RSW
"Sacramento, CA",SMF
"Atlanta, GA",ATL
"Colorado Springs, CO",COS
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Wichita, KS",ICT
"Louisville, KY",SDF
"Tulsa, OK",TUL
"Cincinnati, OH",CVG
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Detroit, MI",DTW
"Washington, DC",IAD
"Houston, TX",IAH
"Indianapolis, IN",IND
"Orlando, FL",MCO
"Missoula, MT",MSO
"Chicago, IL",ORD
"Phoenix, AZ",PHX
"St. Louis, MO",STL
"Tampa, FL",TPA
"Knoxville, TN",TYS
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Grand Junction, CO",GJT
"Indianapolis, IN",IND
"Kansas City, MO",MCI
"Memphis, TN",MEM
"Oakland, CA",OAK
"Denver, CO",DEN
"Houston, TX",IAH
"Montrose/Delta, CO",MTJ
"Denver, CO",DEN
"Durango, CO",DRO
"Grand Rapids, MI",GRR
"Dallas/Fort Worth, TX",DFW
"Montrose/Delta, CO",MTJ
"Denver, CO",DEN
"Salina, KS",SLN
"Colorado Springs, CO",COS
"Denver, CO",DEN
"Houston, TX",IAH
"Houston, TX",IAH
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Salt Lake City, UT",SLC
"Salt Lake City, UT",SLC
"Denver, CO",DEN
"Los Angeles, CA",LAX
"Philadelphia, PA",PHL
"Denver, CO",DEN
"Denver, CO",DEN
"Salt Lake City, UT",SLC
"Denver, CO",DEN
"Des Moines, IA",DSM
"Colorado Springs, CO",COS
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Fresno, CA",FAT
"Grand Junction, CO",GJT
"Grand Junction, CO",GJT
"Grand Junction, CO",GJT
"Great Falls, MT",GTF
"Chicago, IL",ORD
"San Diego, CA",SAN
"Fayetteville, AR",XNA
"Atlanta, GA",ATL
"Cincinnati, OH",CVG
"Washington, DC",DCA
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Eugene, OR",EUG
"Newark, NJ",EWR
"Spokane, WA",GEG
"Grand Rapids, MI",GRR
"Wichita, KS",ICT
"Las Vegas, NV",LAS
"Tampa, FL",TPA
"Tucson, AZ",TUS
"Boise, ID",BOI
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Spokane, WA",GEG
"Portland, OR",PDX
"San Diego, CA",SAN
"Seattle, WA",SEA
"San Jose, CA",SJC
"Columbus, OH",CMH
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Oklahoma City, OK",OKC
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Madison, WI",MSN
"Raleigh/Durham, NC",RDU
"San Antonio, TX",SAT
"Denver, CO",DEN
"Denver, CO",DEN
"Cincinnati, OH",CVG
"Denver, CO",DEN
"Denver, CO",DEN
"Dallas/Fort Worth, TX",DFW
"Bozeman, MT",BZN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Moline, IL",MLI
"Louisville, KY",SDF
"Albuquerque, NM",ABQ
"Amarillo, TX",AMA
"Bozeman, MT",BZN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Des Moines, IA",DSM
"Los Angeles, CA",LAX
"Lubbock, TX",LBB
"Montrose/Delta, CO",MTJ
"Ontario, CA",ONT
"Phoenix, AZ",PHX
"Rapid City, SD",RAP
"Burbank, CA",BUR
"Baltimore, MD",BWI
"Charlotte, NC",CLT
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Oklahoma City, OK",OKC
"Chicago, IL",ORD
"Palm Springs, CA",PSP
"Raleigh/Durham, NC",RDU
"Albuquerque, NM",ABQ
"Albany, NY",ALB
"Atlanta, GA",ATL
"Hartford, CT",BDL
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Indianapolis, IN",IND
"Long Beach, CA",LGB
"New Orleans, LA",MSY
"Omaha, NE",OMA
"Ontario, CA",ONT
"Norfolk, VA",ORF
"Albuquerque, NM",ABQ
"Birmingham, AL",BHM
"Cleveland, OH",CLE
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Dallas/Fort Worth, TX",DFW
"Des Moines, IA",DSM
"Memphis, TN",MEM
"Minneapolis, MN",MSP
"New Orleans, LA",MSY
"Omaha, NE",OMA
"San Antonio, TX",SAT
"Fayetteville, AR",XNA
"Cedar Rapids/Iowa City, IA",CID
"Denver, CO",DEN
"Denver, CO",DEN
"Indianapolis, IN",IND
"Minneapolis, MN",MSP
"Billings, MT",BIL
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Kansas City, MO",MCI
"Shreveport, LA",SHV
"Tucson, AZ",TUS
"Chicago, IL",ORD
"Ontario, CA",ONT
"Grand Junction, CO",GJT
"Los Angeles, CA",LAX
"Denver, CO",DEN
"Dallas/Fort Worth, TX",DFW
"Albuquerque, NM",ABQ
"Denver, CO",DEN
"Denver, CO",DEN
"Dallas/Fort Worth, TX",DFW
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Durango, CO",DRO
"Spokane, WA",GEG
"Los Angeles, CA",LAX
"Kansas City, MO",MCI
"Missoula, MT",MSO
"Minneapolis, MN",MSP
"Omaha, NE",OMA
"Springfield, MO",SGF
"Atlanta, GA",ATL
"Bozeman, MT",BZN
"Cedar Rapids/Iowa City, IA",CID
"Columbus, OH",CMH
"Columbus, OH",CMH
"Cincinnati, OH",CVG
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Detroit, MI",DTW
"Kalispell, MT",FCA
"Lihue, HI",LIH
"Madison, WI",MSN
"Reno, NV",RNO
"Albuquerque, NM",ABQ
"Charleston, SC",CHS
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Milwaukee, WI",MKE
"Minneapolis, MN",MSP
"Norfolk, VA",ORF
"San Antonio, TX",SAT
"Salt Lake City, UT",SLC
"Tucson, AZ",TUS
"Denver, CO",DEN
"Denver, CO",DEN
"El Paso, TX",ELP
"Salt Lake City, UT",SLC
"Denver, CO",DEN
"Denver, CO",DEN
"Milwaukee, WI",MKE
"Santa Ana, CA",SNA
"Denver, CO",DEN
"Denver, CO",DEN
"Wichita, KS",ICT
"Montrose/Delta, CO",MTJ
"Chicago, IL",ORD
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Salt Lake City, UT",SLC
"Denver, CO",DEN
"Denver, CO",DEN
"Indianapolis, IN",IND
"Billings, MT",BIL
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Durango, CO",DRO
"Kansas City, MO",MCI
"Memphis, TN",MEM
"Palm Springs, CA",PSP
"Salt Lake City, UT",SLC
"Boise, ID",BOI
"Charlotte, NC",CLT
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Fort Lauderdale, FL",FLL
"Spokane, WA",GEG
"Kansas City, MO",MCI
"Oklahoma City, OK",OKC
"Ontario, CA",ONT
"Portland, OR",PDX
"Seattle, WA",SEA
"San Jose, CA",SJC
"Tucson, AZ",TUS
"Nashville, TN",BNA
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Houston, TX",HOU
"Long Beach, CA",LGB
"Oklahoma City, OK",OKC
"Pittsburgh, PA",PIT
"St. Louis, MO",STL
"St. Louis, MO",STL
"Denver, CO",DEN
"Phoenix, AZ",PHX
"Minneapolis, MN",MSP
"Denver, CO",DEN
"Cheyenne, WY",CYS
"Denver, CO",DEN
"Denver, CO",DEN
"Minneapolis, MN",MSP
"Montrose/Delta, CO",MTJ
"Chicago, IL",ORD
"Atlanta, GA",ATL
"Cleveland, OH",CLE
"Colorado Springs, CO",COS
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Des Moines, IA",DSM
"Kalispell, MT",FCA
"Wichita, KS",ICT
"Memphis, TN",MEM
"Minot, ND",MOT
"North Bend/Coos Bay, OR",OTH
"Bend/Redmond, OR",RDM
"Santa Barbara, CA",SBA
"Tulsa, OK",TUL
"Tucson, AZ",TUS
"Austin, TX",AUS
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Newark, NJ",EWR
"Indianapolis, IN",IND
"Indianapolis, IN",IND
"Medford, OR",MFR
"Milwaukee, WI",MKE
"Philadelphia, PA",PHL
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Jacksonville, FL",JAX
"San Francisco, CA",SFO
"Salt Lake City, UT",SLC
"Atlanta, GA",ATL
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Colorado Springs, CO",COS
"Denver, CO",DEN
"Denver, CO",DEN
"Grand Junction, CO",GJT
"Memphis, TN",MEM
"Denver, CO",DEN
"Grand Junction, CO",GJT
"Las Vegas, NV",LAS
"Denver, CO",DEN
"Knoxville, TN",TYS
"Austin, TX",AUS
"Bakersfield, CA",BFL
"Charlotte, NC",CLT
"Denver, CO",DEN
"Denver, CO",DEN
"Richmond, VA",RIC
"Billings, MT",BIL
"Boise, ID",BOI
"Burbank, CA",BUR
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Des Moines, IA",DSM
"Eugene, OR",EUG
"Kansas City, MO",MCI
"Milwaukee, WI",MKE
"Philadelphia, PA",PHL
"Pittsburgh, PA",PIT
"Tulsa, OK",TUL
"Austin, TX",AUS
"Cleveland, OH",CLE
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Pensacola, FL",PNS
"Tulsa, OK",TUL
"Cedar Rapids/Iowa City, IA",CID
"Denver, CO",DEN
"Sioux Falls, SD",FSD
"Denver, CO",DEN
"Louisville, KY",SDF
"Denver, CO",DEN
"Phoenix, AZ",PHX
"Denver, CO",DEN
"Cincinnati, OH",CVG
"Denver, CO",DEN
"Oklahoma City, OK",OKC
"Austin, TX",AUS
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Eugene, OR",EUG
"New Orleans, LA",MSY
"Salt Lake City, UT",SLC
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Las Vegas, NV",LAS
"Kansas City, MO",MCI
"Raleigh/Durham, NC",RDU
"Nashville, TN",BNA
"Colorado Springs, CO",COS
"San Francisco, CA",SFO
"Denver, CO",DEN
"Denver, CO",DEN
"Gunnison, CO",GUC
"Hayden, CO",HDN
"Phoenix, AZ",AZA
"Colorado Springs, CO",COS
"Colorado Springs, CO",COS
"Grand Junction, CO",GJT
"Las Vegas, NV",LAS
"Los Angeles, CA",LAX
"Branson, MO",BKG
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Kalispell, MT",FCA
"Grand Junction, CO",GJT
"Medford, OR",MFR
"Baltimore, MD",BWI
"Denver, CO",DEN
"Denver, CO",DEN
"Detroit, MI",DTW
"Eugene, OR",EUG
"Indianapolis, IN",IND
"Madison, WI",MSN
"Denver, CO",DEN
"Denver, CO",DEN
"Indianapolis, IN",IND
"Minneapolis, MN",MSP
"San Antonio, TX",SAT
"Denver, CO",DEN
"Louisville, KY",SDF
"Columbus, OH",CMH
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"St. Louis, MO",STL
"Hartford, CT",BDL
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Des Moines, IA",DSM
"Washington, DC",IAD
"New Orleans, LA",MSY
"Ontario, CA",ONT
"Palm Springs, CA",PSP
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Oklahoma City, OK",OKC
"Louisville, KY",SDF
"San Francisco, CA",SFO
"Houston, TX",IAH
"Washington, DC",DCA
"Denver, CO",DEN
"Des Moines, IA",DSM
"Denver, CO",DEN
"Memphis, TN",MEM
"Denver, CO",DEN
"Tulsa, OK",TUL
"Denver, CO",DEN
"Telluride, CO",TEX
"Cortez, CO",CEZ
"Phoenix, AZ",PHX
"Denver, CO",DEN
"Oklahoma City, OK",OKC
"Baltimore, MD",BWI
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Sioux Falls, SD",FSD
"Denver, CO",DEN
"Los Angeles, CA",LAX
"Kansas City, MO",MCI
"Phoenix, AZ",PHX
"Colorado Springs, CO",COS
"Los Angeles, CA",LAX
"Denver, CO",DEN
"Denver, CO",DEN
"New York, NY",JFK
"Denver, CO",DEN
"San Antonio, TX",SAT
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Dallas/Fort Worth, TX",DFW
"Milwaukee, WI",MKE
"Minneapolis, MN",MSP
"Sacramento, CA",SMF
"Denver, CO",DEN
"Fresno, CA",FAT
"Springfield, MO",SGF
"Cincinnati, OH",CVG
"Denver, CO",DEN
"New York, NY",LGA
"Denver, CO",DEN
"Moline, IL",MLI
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Orlando, FL",MCO
"Raleigh/Durham, NC",RDU
"San Diego, CA",SAN
"Bozeman, MT",BZN
"Cedar Rapids/Iowa City, IA",CID
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Greensboro/High Point, NC",GSO
"Seattle, WA",SEA
"Oakland, CA",OAK
"Cedar Rapids/Iowa City, IA",CID
"Billings, MT",BIL
"Denver, CO",DEN
"Denver, CO",DEN
"Des Moines, IA",DSM
"Houston, TX",IAH
"Omaha, NE",OMA
"Ontario, CA",ONT
"San Jose, CA",SJC
"Dallas, TX",DAL
"Fort Lauderdale, FL",FLL
"Nashville, TN",BNA
"Denver, CO",DEN
"Colorado Springs, CO",COS
"Eugene, OR",EUG
"Seattle, WA",SEA
"Albuquerque, NM",ABQ
"Denver, CO",DEN
"Omaha, NE",OMA
"Pittsburgh, PA",PIT
"Des Moines, IA",DSM
"Denver, CO",DEN
"Madison, WI",MSN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Fayetteville, AR",XNA
"Colorado Springs, CO",COS
"Seattle, WA",SEA
"Detroit, MI",DTW
"Denver, CO",DEN
"Denver, CO",DEN
"Las Vegas, NV",LAS
"New York, NY",LGA
"Seattle, WA",SEA
"Sacramento, CA",SMF
"Memphis, TN",MEM
"Nashville, TN",BNA
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Missoula, MT",MSO
"Knoxville, TN",TYS
"Grand Junction, CO",GJT
"Grand Junction, CO",GJT
"Memphis, TN",MEM
"Memphis, TN",MEM
"Memphis, TN",MEM
"Great Falls, MT",GTF
"Little Rock, AR",LIT
"Cortez, CO",CEZ
"Phoenix, AZ",PHX
"Denver, CO",DEN
"Detroit, MI",DTW
"Tulsa, OK",TUL
"Albuquerque, NM",ABQ
"Denver, CO",DEN
"Denver, CO",DEN
"El Paso, TX",ELP
"Palm Springs, CA",PSP
"Columbus, OH",CMH
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Medford, OR",MFR
"New Orleans, LA",MSY
"Pittsburgh, PA",PIT
"San Jose, CA",SJC
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Portland, OR",PDX
"Seattle, WA",SEA
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Eugene, OR",EUG
"Wichita, KS",ICT
"Albuquerque, NM",ABQ
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
"Denver, CO",DEN
