UNIQUE_CARRIER_ENTITY,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,PASSENGERS
6673,12954,11292,146
1006,11292,14771,117
1006,14771,11292,119
1126,11423,10325,2
6081,11292,11315,43
6081,11292,12389,41
6081,11315,11292,35
6081,11503,15016,22
6081,15016,11503,38
6081,12544,11503,0
6055,10397,11292,0
6055,11292,11315,0
6035,11109,11292,156
6035,12889,11109,0
1150,10372,10800,3
1150,10800,11503,4
1150,11503,10800,3
1150,14869,10372,2
0A050,11292,14107,62
0A050,14100,11292,56
1260,10397,11109,160
1260,10397,11292,30
1260,10397,11292,150
1260,11109,10397,160
1260,11109,11298,139
1260,11122,11292,103
1260,11292,10397,4
1260,11292,10397,129
1260,11292,10397,62
1260,11292,11193,0
1260,11292,11433,148
1260,11292,11775,150
1260,11292,12889,149
1260,11292,14679,102
1260,11292,14869,50
1260,11433,11292,147
1260,13487,11292,160
1260,13851,11292,156
1260,14771,11292,61
1260,14869,11292,52
6690,10529,11292,0
6690,11109,14771,0
6690,13796,11109,27
0A875,10558,11292,126
0A875,11292,11042,70
0A875,11292,14771,152
0A875,11292,12892,122
0A875,11292,13303,174
0A875,11292,14524,163
0A875,13341,11292,58
10877,11292,14771,200
6725,11109,11292,281
6725,11233,11292,278
6725,11233,11292,175
6725,11259,11109,141
6725,11292,11503,142
6725,11292,11109,160
6725,11292,11292,164
6725,11292,12896,143
6725,11292,12992,132
6725,11292,11109,143
6725,11292,11292,165
6725,14831,10423,140
11033,11109,13930,120
1194,10325,14831,1
1194,10325,10325,0
1194,10325,10325,1
1194,10423,10372,1
1194,11066,12889,0
1194,14792,11292,6
16736,11292,11292,0
1130,10466,13796,30
1130,10747,14869,15
1130,11292,11921,21
1130,11292,11563,0
1130,11292,11292,45
1130,11563,11292,138
1130,11921,13796,138
1130,14576,11292,0
1130,15370,13342,20
6774,11292,11292,0
6774,11376,10590,0
1189,11292,10590,14
1189,14570,11292,13
6795,11292,11719,286
6795,11719,13502,149
6795,10590,14288,129
6795,10590,10590,148
6795,10590,10590,93
6795,10590,14288,156
6795,13502,13796,93
6795,14288,11292,154
6912,11840,11193,0
6912,14288,11292,0
6841,11193,11109,0
6841,11292,11292,0
6031,11109,13851,156
6031,14747,11292,156
6904,10558,11292,49
6904,11292,11292,34
6975,10325,10558,5
6975,10558,11283,329
6975,11283,11292,116
6975,11292,11468,343
6975,11292,12899,176
6975,11292,12902,37
6975,11292,11292,645
6975,11292,11292,423
6975,11292,10325,82
6975,11468,11292,600
6975,12899,11711,422
6975,12902,11292,5
6975,12902,11292,153
6932,11292,12389,5
6932,14288,11292,5
1177,11292,12889,6
6081,10558,11921,20
6081,11292,11292,40
6081,11292,11298,34
6081,12389,12278,121
6035,11921,10721,113
6035,12889,12892,151
0A050,11109,12992,150
0A050,11109,11292,133
0A050,11109,11109,124
0A050,11292,11292,168
0A050,11292,11292,74
0A050,11292,11109,150
0A050,13204,12892,154
0A050,13930,13487,150
0A050,14492,13487,142
0A050,14771,14869,150
0A050,14869,11292,133
1260,11292,11292,101
1260,11292,15370,110
1260,11292,11292,281
1260,11292,11292,155
1260,11433,12992,154
1260,13487,13486,106
7041,11292,15376,70
7041,11986,11292,55
6700,11097,11109,35
6700,11109,10140,0
6700,11109,10397,0
6700,11109,10423,46
6700,11122,11003,48
6700,11278,11097,0
6700,11292,11122,70
6700,11292,11298,62
6700,11292,11986,69
6700,11292,12266,58
6700,11292,12441,45
6700,11292,12992,43
6700,11292,13264,67
6700,11292,13871,69
6700,11292,13930,0
6700,11292,14489,69
6700,11292,14679,48
6700,11292,14730,63
6700,11292,14771,63
6700,11292,14908,65
6700,11292,11109,40
6700,11292,12892,76
6700,11292,11292,50
6700,11292,11292,0
6700,11292,11292,68
6700,11292,11292,73
6700,11298,11292,0
6700,11921,11292,0
6700,12266,11109,0
6700,12441,11292,34
6700,12888,11292,53
6700,12892,11921,0
6700,12992,11292,62
6700,13264,11292,16
6700,13486,11109,0
6700,13930,11292,0
6700,14057,11292,76
6700,14252,11292,41
6700,14679,11292,69
6700,14683,11292,65
6700,14794,11292,45
6700,14893,10140,68
6700,14908,10620,67
0A875,10140,10721,140
0A875,10529,10849,151
0A875,10721,11193,127
0A875,10849,11433,84
0A875,11292,11697,144
0A875,11292,12264,154
0A875,11292,12266,150
0A875,11292,12889,144
0A875,11292,13198,89
0A875,11292,13204,86
0A875,11292,13930,126
0A875,11292,14100,200
0A875,11292,14262,126
0A875,11292,14524,106
0A875,11292,14570,137
0A875,11292,14869,102
0A875,11292,15016,121
0A875,11292,15016,134
0A875,11292,15370,99
0A875,11292,11292,128
0A875,11292,11292,105
0A875,11292,11292,126
0A875,11292,11292,162
0A875,11292,11292,119
0A875,11292,11292,124
0A875,12264,11292,173
0A875,12266,11292,161
0A875,12266,11292,207
0A875,13198,11292,107
0A875,13204,11292,166
0A875,14262,11292,164
0A875,14262,11292,97
0A875,14524,11292,138
0A875,14570,11292,38
0A875,14683,11292,128
0A875,14689,11292,109
0A875,14771,11292,129
0A875,14771,11292,385
0A875,14908,10140,159
0A875,15016,10713,157
0A875,15016,11433,125
0A875,15370,11986,123
6725,10994,13342,107
6725,11042,14057,139
6725,11292,14100,128
6725,11292,14570,121
6725,11292,14635,140
6725,11292,15370,128
6725,11292,11292,136
6725,11292,11292,133
6725,11292,11292,138
6725,11292,11292,139
6725,11292,11292,163
6725,11292,11292,141
6725,11433,11292,123
6725,11986,11292,84
6725,13495,11292,175
6725,14122,11042,143
6725,14570,11109,140
6725,14635,11423,171
6725,14893,12278,140
6003,10397,13871,61
6003,11109,14869,73
6003,11292,11292,70
6003,11292,11292,65
6003,11292,11292,60
6003,11292,11292,33
6003,11292,11066,65
6003,11292,11433,69
6003,12278,12266,52
6003,14730,12339,67
6003,15370,13204,52
6460,11193,13204,134
6460,11292,13486,143
6460,11292,13930,64
6460,11292,13930,178
6460,11292,14107,113
6460,11292,15016,180
6460,11292,15412,126
6460,11292,11292,136
6460,11292,11292,180
6460,11292,11292,110
6460,11292,11292,145
6460,11292,11292,151
6460,11292,11292,136
6460,11433,11292,142
6460,12264,11292,132
6460,12266,11292,171
6460,12339,11292,150
6460,13204,11292,169
6460,13486,11298,102
6460,13930,12339,180
6460,14107,13198,142
6460,15016,13495,152
6460,15304,14869,4
6460,15412,15376,140
6200,11292,14869,0
6200,11292,11292,0
6200,11292,11292,0
6200,11292,11921,0
6200,11292,11292,0
6200,11292,11433,0
6200,11921,11292,0
6200,12339,11413,0
6200,13198,11292,0
6200,13244,11292,0
6200,13796,13502,0
6830,11292,11298,144
6830,12266,14877,127
6689,13502,11292,66
6904,11292,15016,45
6904,11413,11109,47
6904,11986,11292,43
6820,11298,12012,44
6820,13502,12889,48
6932,11292,14730,88
6932,14877,11292,94
6085,11109,14057,47
6085,11292,11292,47
6085,12266,11292,47
6085,12266,13487,49
6910,11292,13487,0
6910,11292,11292,0
6910,11292,11986,0
6910,14869,11292,0
0A050,11292,11292,267
0A050,12892,11109,322
0A050,14100,11921,267
1260,11292,12003,251
1260,11292,14057,356
1260,14869,14683,287
7041,11292,11109,133
7041,11423,10372,122
6700,11109,11292,125
6700,11292,11298,124
6700,11292,11292,87
6700,11292,11921,91
6700,11292,11292,146
6700,11292,11292,138
6700,11638,11292,0
6700,11921,11292,73
6700,11921,11292,64
6700,11921,10397,0
6700,12003,10721,65
6700,13930,11278,96
6700,14679,11884,145
6700,15919,12278,108
0A875,10397,14492,223
0A875,11193,14689,112
0A875,11278,15304,314
0A875,11292,15376,275
0A875,11292,11292,244
0A875,11292,11292,322
0A875,11292,11292,269
0A875,11292,11292,180
0A875,11292,11292,318
0A875,11292,11292,205
0A875,11292,11292,243
0A875,11292,11292,250
0A875,11603,11292,273
0A875,11618,10140,211
0A875,11884,10821,255
0A875,11986,10994,220
0A875,12278,11066,149
0A875,12889,11884,166
0A875,15304,14730,243
0A875,15376,14869,228
6725,10713,11292,217
6725,11292,11292,49
6725,11292,11292,165
6725,11292,11292,274
6725,11292,11292,254
6725,11292,11292,265
6725,11292,10599,253
6725,11292,11066,204
6725,11884,13487,281
6725,14057,15370,274
6725,14679,11292,275
6725,14747,13485,256
6725,14831,13487,236
6003,11066,14492,104
6003,11292,14683,112
6003,11292,11292,137
6003,11292,11292,132
6003,11292,11292,127
6003,13851,10620,137
6460,11292,11540,274
6460,11292,11292,295
6460,11292,11193,290
6460,11292,14869,299
6460,13485,11292,242
6460,14492,11292,289
6460,14683,10849,299
6200,11292,13487,0
6200,11292,14730,0
7024,11193,11292,143
7024,11292,11292,139
6910,11292,11292,0
0A050,11298,11292,396
7041,10849,11292,177
7041,11292,10279,199
7041,11292,10849,199
7041,11292,11193,191
7041,13367,11267,166
7041,14730,11986,199
6700,10140,12896,166
6700,10279,13502,143
6700,10849,13891,136
6700,11292,14107,119
6700,11292,14262,193
6700,11292,14489,211
6700,11292,14683,192
6700,11292,15370,203
6700,11292,11292,115
6700,11292,11921,135
6700,11292,11292,141
6700,11292,11292,192
6700,11292,11292,131
6700,11292,11292,131
6700,11292,11292,201
6700,11292,11292,206
6700,11423,11292,147
6700,12892,11292,89
6700,12896,10397,90
6700,13502,11618,140
6700,13891,13198,147
6700,14107,14262,204
6700,14457,11292,107
0A875,10800,11292,333
0A875,10821,11292,368
0A875,11057,11292,446
0A875,11292,11292,358
0A875,11292,11292,346
0A875,11292,11292,462
0A875,11292,11292,331
0A875,13851,10994,471
0A875,13930,12339,346
0A875,14262,12954,379
0A875,14492,13198,482
6725,10140,13495,336
6725,10257,13495,465
6725,10397,13871,412
6725,10529,13891,394
6725,11292,13931,513
6725,11292,14683,388
6725,11292,14747,383
6725,11292,14831,400
6725,11292,14893,347
6725,11292,15376,424
6725,11292,11292,391
6725,11292,11292,385
6725,11292,11292,417
6725,11292,11292,481
6725,11292,11292,417
6725,11292,11292,330
6725,11292,11292,350
6725,11292,11292,374
6725,12339,11292,395
6725,12954,10140,380
6725,13495,10693,427
6725,13871,11540,311
6725,13891,13244,400
6725,13931,13851,508
6003,10140,15919,203
6003,10599,11292,144
6003,11042,11292,200
6003,11292,11292,193
6003,11292,11292,190
6003,11292,11292,169
6003,11292,11292,197
6003,11292,11292,213
6003,11292,11292,122
6003,11298,11292,198
6003,11423,11003,196
6003,13244,12339,200
6003,13487,11292,198
6003,13495,11292,197
6003,13871,11292,206
6003,14683,10620,192
6003,15919,14783,130
6460,11003,14814,425
6460,11292,15376,424
6460,11292,11292,445
6460,12339,11292,517
6460,13487,11292,381
6904,10620,11109,126
6904,11292,11292,100
6904,11292,12892,123
6904,11292,11921,132
6904,11292,11298,141
6904,13198,11292,143
6904,14814,11292,92
6904,15376,10140,139
6085,13930,11298,142
6910,13891,11292,0
1131,11921,11884,126
1131,12892,13486,169
0A050,11292,13487,483
0A050,11298,14783,541
7041,10140,12892,210
7041,11292,11292,265
7041,11292,11413,255
7041,11298,11292,274
6700,11292,11292,188
6700,11292,11292,260
6700,11292,11292,277
6700,11292,11292,236
6700,11413,11292,164
6700,11884,11292,187
6700,12892,11292,160
6700,13198,11292,191
6700,13486,11292,168
6700,13487,11292,293
6700,13871,10713,144
6700,14783,10849,253
0A875,10397,11057,462
0A875,10849,11066,509
0A875,11003,11066,395
0A875,11066,11603,577
0A875,11066,11648,540
0A875,11193,12982,438
0A875,11292,13485,555
0A875,11292,13495,623
0A875,11292,14100,571
0A875,11292,14100,588
0A875,11292,14570,503
0A875,11292,14771,479
0A875,11292,11292,545
0A875,11292,11292,638
0A875,11292,11292,754
0A875,11292,11292,456
0A875,11292,11292,615
0A875,11292,11292,397
0A875,11292,11292,497
0A875,11292,10423,668
0A875,11433,13931,684
0A875,11648,14679,397
0A875,12982,14683,642
0A875,13485,14831,617
0A875,14570,11292,650
6725,10140,11292,660
6725,10994,11292,624
6725,11292,11292,506
6725,11292,11292,651
6725,11292,11292,549
6725,11292,12339,553
6725,11292,14683,677
6725,13342,11292,561
6725,13487,11292,543
6725,13931,13342,542
6725,14683,14908,649
6725,14869,11292,516
6725,15376,11292,551
6003,11292,13487,276
6003,11292,12278,256
6003,11540,11292,242
6003,14869,13930,208
6460,11292,13502,693
6460,11292,10800,561
6460,13342,11003,577
6460,14908,12339,567
6795,11292,11292,505
6904,11292,11292,185
6904,12278,10397,158
6820,13502,10620,146
6820,13930,11042,211
6910,11292,11413,0
7041,11292,11648,281
7041,11292,12278,308
7041,12339,13198,328
6700,10620,13244,163
6700,11292,13433,359
6700,11292,13871,180
6700,11292,14689,365
6700,11292,11292,280
6700,11292,11292,314
6700,11292,11292,364
6700,11292,11292,228
6700,11292,11292,299
6700,11292,11292,192
6700,11292,11292,142
6700,11292,10821,197
6700,11413,11003,230
6700,13198,11057,335
6700,13244,11193,357
6700,14262,11618,124
6700,14869,11884,201
0A875,10713,13264,738
0A875,11057,13891,852
0A875,11292,14831,581
0A875,11292,14893,461
0A875,11292,15376,813
0A875,11292,11292,500
0A875,11292,11292,1483
0A875,11292,11292,528
0A875,11292,11292,632
0A875,11292,11292,602
0A875,11292,11292,694
0A875,11292,11292,592
0A875,11292,11292,490
0A875,11697,11292,823
0A875,11884,11292,564
0A875,13198,12954,697
0A875,13851,13487,804
0A875,13891,15016,656
0A875,14057,11292,699
0A875,14747,11292,605
0A875,14831,11292,613
0A875,15376,11292,619
6725,10693,11292,619
6725,11292,11292,633
6725,11292,14107,665
6725,11292,11292,697
6725,12191,11292,686
6725,12954,11003,673
6725,13851,11292,715
6725,14122,11233,821
6725,15016,13244,700
6003,15016,11292,331
6460,11292,13930,877
6460,14107,13502,1091
6795,13487,11292,653
6904,11292,11292,209
6932,11233,12892,14
6932,11292,11057,13
7041,11292,13264,387
7041,13487,13964,390
7041,13502,11292,349
7041,13930,11292,332
6700,10397,11292,382
6700,11042,11292,421
6700,11109,11292,363
6700,11292,11292,412
6700,11292,11292,272
6700,11292,11292,190
6700,11423,11292,330
6700,11648,11292,329
6700,12278,11292,384
6700,13244,11433,392
6700,13433,11986,325
6700,13964,12339,222
6700,14489,13198,300
6700,14689,13342,248
6700,15370,13495,382
6700,15376,11292,375
0A875,10423,11292,937
0A875,11292,11292,850
0A875,11292,11292,727
0A875,11292,11292,930
0A875,11292,11292,795
0A875,11292,11697,780
0A875,11292,12451,811
0A875,11618,13198,2053
0A875,12339,13796,954
0A875,12339,13851,755
0A875,13264,11292,755
0A875,13342,11292,817
0A875,14100,11292,761
6725,11292,11292,801
6725,11292,10397,1157
6725,11292,11298,989
6725,11292,13871,753
6725,11292,14730,994
6725,12451,11921,915
6725,14771,13244,885
6725,14869,11109,1002
6003,10397,11292,398
6003,11292,11775,308
6003,11292,12889,400
6003,11292,11921,387
6003,11292,15412,397
6200,11109,11292,0
6200,11292,11292,0
6200,11921,11292,0
6200,13244,11292,0
6904,11292,11921,251
6035,11921,14524,921
6035,12889,11292,858
7041,11292,11292,453
7041,15412,11292,450
6700,10423,11292,419
6700,10561,10620,448
6700,11057,10713,503
6700,11292,10800,430
6700,11292,11423,489
6700,14524,11603,480
0A875,10620,11603,843
0A875,10713,13342,877
0A875,10800,13851,630
0A875,11292,14122,904
0A875,11292,14869,862
0A875,11292,11292,701
0A875,11292,11292,869
0A875,11292,11292,802
0A875,11292,11292,706
0A875,11292,11292,1153
0A875,11292,11292,772
0A875,11292,11292,761
0A875,11292,11292,780
0A875,11423,11292,1034
0A875,11603,11618,938
0A875,13198,14193,895
0A875,13342,14492,1158
0A875,14100,11292,1054
0A875,14122,11292,807
0A875,15370,11292,844
6725,10423,12094,953
6725,11042,11292,1150
6725,11292,11292,1144
6725,11292,14107,944
6725,11292,11292,1152
6725,14193,11042,959
6725,15370,11292,928
6904,11003,15376,290
6904,11292,11292,298
6904,11775,11292,294
6910,14730,10423,0
0A050,11292,10529,876
0A050,14107,11433,1007
7041,11292,11697,523
6700,11193,12953,530
6700,11292,13485,397
6700,13851,13487,464
0A875,10423,14747,972
0A875,11292,15370,642
0A875,11292,11292,1038
0A875,11292,11292,1017
0A875,11292,11292,1240
0A875,11292,11884,945
0A875,11292,12191,1016
0A875,11292,12892,1072
0A875,11292,13851,1323
0A875,11292,14107,922
0A875,11603,14771,812
0A875,13495,11292,1170
0A875,14869,11292,1232
6725,11292,11292,1209
6725,11292,11292,1010
6725,11292,14771,1105
6725,11292,11109,986
6725,11292,13796,1099
6725,11292,12012,1062
6725,12889,11292,1048
6725,13198,11292,1056
6725,14492,11109,1313
6003,10693,10466,525
6460,11109,12889,917
6460,14771,12892,905
6200,11292,11109,0
6904,11292,11921,371
6904,12012,11292,245
6904,12094,10643,344
6035,10466,11003,1299
6035,11109,11648,1257
6035,11109,13851,1268
6035,11921,13851,1267
6035,12889,11292,1272
6035,12892,11292,1184
1158,10643,11292,308
1158,11292,11292,344
6700,11292,12339,356
6700,11292,14057,651
6700,11292,11292,409
6700,11292,11292,549
6700,11648,11292,570
6700,11921,11292,486
6700,13264,10397,630
0A875,10821,10529,1215
0A875,11292,11292,1254
0A875,11292,11292,1266
0A875,11433,11292,1185
0A875,11603,11278,1144
0A875,12339,11292,1259
0A875,13485,10800,1183
6725,11292,11066,1056
6725,11292,15376,1296
6725,12339,11292,1501
6725,13487,11292,1369
6725,14683,10821,1151
6460,11292,11423,1275
6700,11066,11775,724
6700,11292,14262,444
6700,11292,11292,690
6700,11292,11292,667
6700,15016,11292,486
0A875,10529,11292,1341
0A875,11292,11292,1358
0A875,11292,11042,1248
0A875,11292,12889,1089
0A875,11292,13487,1073
0A875,11423,14730,1261
0A875,12264,11292,1472
0A875,13495,11292,1663
0A875,13891,11292,1618
0A875,14262,11109,916
6725,11292,11292,1332
6725,11292,11423,1178
6725,11292,11292,1691
6725,11292,15370,1359
6725,13851,11292,1336
6725,14730,15177,1329
6725,14771,11292,1366
6003,12266,14107,670
6460,11278,10950,1287
6460,11292,12953,1366
6460,11423,11292,1436
6904,11292,11292,403
6904,15370,11603,422
6932,11292,12264,13
6932,15177,13495,11
1177,10950,13871,77
1177,14107,13891,64
1260,11292,14893,1341
6700,13851,11292,477
0A875,10821,12264,1750
0A875,11292,11292,1180
0A875,11292,11292,1532
0A875,11292,11292,1609
0A875,11292,12892,1689
0A875,11292,11109,1761
0A875,11292,11986,1619
0A875,11775,12478,1216
6725,11292,11292,1806
6725,12892,14683,1499
6725,13198,11292,1838
6725,14107,11603,1517
6460,11109,13487,1388
6460,12892,14492,1401
6904,11292,14747,503
6673,11292,11292,1704
6673,12478,11292,1770
7041,11292,11292,776
7041,14683,11292,761
6700,11292,10693,528
0A875,11292,11921,1716
0A875,11292,11292,1426
0A875,11292,11292,1878
0A875,11298,11193,1731
0A875,13342,11292,1873
0A875,13487,14869,1577
0A875,14893,11292,1543
6725,11292,10620,1498
6200,11638,11423,0
6904,14783,13342,520
6035,11193,13871,1874
6035,11292,13891,1776
1260,12953,15304,1492
6700,11292,11292,762
6700,13367,11292,501
0A875,11292,11292,1495
0A875,11292,11292,1903
0A875,11292,11292,1926
0A875,11292,10849,1870
0A875,11292,11003,1836
0A875,11292,11995,1772
0A875,13204,14747,2217
0A875,14492,11292,1579
0A875,14679,11292,1724
6460,10849,11292,1648
6460,11003,11292,2259
6460,11292,10423,1855
6460,11292,14679,2180
6460,11292,11292,1820
6460,11292,11292,1849
6460,11995,11292,1862
6460,14747,11292,1853
6700,11003,11292,596
0A875,10620,11292,1486
0A875,11292,11292,2007
0A875,11292,11292,2082
0A875,11423,10693,1877
0A875,12266,14747,1586
0A875,13871,11292,2069
0A875,13891,11109,2031
0A875,14831,11292,1929
6725,11259,14122,1910
6725,11697,11292,2359
6460,10693,11292,2967
6460,11292,11292,2602
6700,11109,13485,1007
6700,11603,11292,644
6700,14747,12003,1053
0A875,10140,15919,2081
0A875,11292,11292,2231
0A875,13871,14747,2331
0A875,14122,11109,2302
6003,11423,11292,932
6460,11292,13367,2455
6460,13485,10140,2373
6904,11292,11292,637
6904,11292,11292,565
6904,15919,11292,569
6580,11109,11292,1004
6580,14747,11292,1024
1260,11433,11292,2613
6700,11292,10693,605
0A875,11292,13486,2324
0A875,12889,15412,2187
0A875,12953,11292,1854
0A875,14747,11292,2427
0A875,14893,11638,2296
6003,13244,13244,985
6460,10693,11292,2812
6460,11292,11292,2728
6460,11292,14107,2234
6460,11292,10950,2227
6460,13486,13487,1813
6460,15412,11292,2302
6200,11921,11292,0
6200,11921,11292,0
6904,12003,13198,707
6904,12992,14262,708
1177,10950,11292,117
1177,14107,11292,121
1260,11292,11292,3355
1260,11433,10140,3222
7041,15370,11042,1059
6700,10140,12339,807
6700,11292,12889,1129
6700,11292,11292,1048
6700,11540,11292,1124
6700,14262,11292,1098
0A875,11066,11292,1932
0A875,11292,11259,2665
0A875,11292,14057,3223
0A875,11292,14747,2875
0A875,11292,11292,2193
0A875,13264,11292,1985
0A875,13495,13367,2494
0A875,14122,11540,2721
0A875,14831,11603,2500
6725,11292,15919,2123
6460,11292,11292,2319
6460,11292,11292,2891
6460,14057,11292,2433
6460,14747,10821,2934
6904,11292,11066,679
6700,11292,12266,918
6700,11292,14122,1058
6700,11292,14831,888
6700,11603,14831,1184
6700,12278,14869,873
0A875,10140,15016,2893
0A875,11292,11292,2741
0A875,11292,11292,2115
0A875,11292,12889,2160
0A875,11292,15370,3066
0A875,11292,11292,2620
0A875,11292,11109,2097
0A875,11292,11292,1747
0A875,11292,11292,2494
0A875,14869,10620,2222
0A875,15304,13891,3047
6725,11292,11292,2922
6003,11292,12278,1052
6904,11109,14730,801
6904,11292,11292,769
6904,11423,11292,677
6910,10620,11292,0
6910,11292,10849,0
6910,11292,13264,0
6910,14512,13495,0
6700,11292,14107,799
6700,11292,14570,1235
6700,14457,14683,988
0A875,10529,14771,2334
0A875,10849,11292,1451
0A875,11292,11292,2272
0A875,11292,11292,2077
0A875,11292,11292,3116
0A875,11292,11292,2211
0A875,11292,11292,2274
0A875,11292,10140,2356
0A875,11292,11042,4382
0A875,11775,14869,1495
0A875,11884,11292,2518
0A875,14570,13930,1960
0A875,14771,11292,4400
