PAYLOAD,FREIGHT,MAIL
37400,0,0
37822,0,0
37822,0,0
5300,0,0
10841,0,0
23500,0,0
10841,0,0
12659,0,0
10808,0,0
12659,0,0
21458,800,0
21458,0,0
95000,0,0
95000,0,0
2000,0,0
4000,0,0
4000,0,0
2000,0,0
51700,0,0
51700,0,0
49760,0,0
34446,0,0
50700,14,39
49760,0,0
38879,0,0
29900,492,0
34446,0,0
50700,0,0
49760,0,0
49760,0,0
32870,0,0
38470,32,0
38170,0,0
38170,70,4
49760,0,0
32870,5,0
49760,28,0
38170,0,226
99520,0,0
49760,0,0
42500,0,0
42500,0,0
42500,0,0
34279,4,0
41006,10064,0
38700,0,282
34771,1,0
35906,0,0
36926,0,0
40581,10064,0
54393,0,0
69200,2628,0
69200,1614,0
43400,252,0
34600,1280,0
34600,151,0
43400,167,0
43400,120,0
34600,0,0
34600,0,0
34600,0,0
43400,0,0
34600,1348,0
43400,0,0
1600,0,0
1600,0,0
2400,0,0
1600,0,0
2400,0,0
1600,0,0
68370,0,0
151660,0,0
75830,0,0
75830,0,0
75830,0,0
227490,0,0
75830,0,0
75830,0,0
75830,0,0
75830,0,0
23000,8878,0
23000,8878,0
12343,0,0
12343,0,0
82501,0,0
43411,0,0
43116,0,0
43116,0,0
43411,0,0
43411,0,0
43116,0,0
42116,0,0
5600,270,0
5600,270,0
1668260,627144,0
1668260,431309,0
41080,0,0
41080,0,0
11118,0,0
11118,0,0
7600,0,0
334400,0,0
144400,0,0
342000,0,0
174800,0,0
22800,0,0
425600,0,0
364800,0,0
144400,0,0
425600,0,0
364800,0,0
7600,0,0
159600,0,0
4500,0,0
4500,0,0
1600,0,0
10808,0,0
10841,0,0
10808,0,0
34308,0,0
101000,0,0
101000,0,0
40400,450,266
39900,0,0
39400,0,0
50200,428,0
48100,0,0
39900,550,0
50200,0,54
40400,450,266
40400,0,521
51700,0,460
39900,0,0
29900,0,0
29900,0,0
77758,0,0
40870,0,0
41370,6,0
29900,53,0
38879,21,0
17610,0,0
17610,0,0
13500,0,0
13500,0,0
13500,0,0
13500,0,0
13500,0,0
15200,0,0
18740,0,0
18740,0,0
15200,0,0
15200,0,0
13500,0,0
13500,0,0
18740,0,0
15200,0,0
15200,0,0
18740,0,0
18740,0,0
18740,0,0
18740,0,0
15200,0,0
13500,0,0
15200,0,0
13500,0,0
13500,0,0
18740,0,0
18740,0,0
15200,0,0
15200,0,0
18740,0,0
13500,0,0
18740,0,0
15200,0,0
18740,0,0
15200,0,0
18740,0,0
13500,0,0
15200,0,0
15200,0,0
13500,0,0
18740,0,0
15200,0,0
13500,0,0
18740,0,0
18740,0,0
32640,1,0
41971,0,1040
31999,0,1858
36804,0,0
36640,0,0
48470,55,23
35090,865,0
36804,181,0
36867,0,0
36158,0,1615
32862,0,0
100549,0,0
82777,0,75
35433,10,539
42241,703,1350
35372,0,40
35936,0,0
36733,55,1976
34143,0,0
36072,0,0
42690,0,0
35554,77,1604
41831,0,65
35832,0,97
41556,11,0
98334,306,361
48320,0,1335
82502,0,707
43141,0,954
48843,85,404
41843,0,0
46360,42,0
34772,0,0
38790,0,0
36768,117,395
35694,0,0
48920,508,430
290384,8694,0
37980,0,679
36271,0,649
28852,24,260
28356,23,0
32200,85,0
32200,1026,0
32200,0,0
32200,944,0
32200,110,0
32200,96,0
32200,0,0
32200,0,0
32200,377,0
32200,760,0
43400,0,0
32200,26,0
32200,160,0
32200,0,0
43400,345,0
32200,569,0
32200,0,0
43400,0,0
32200,6,0
21803,0,0
21803,0,0
21803,0,0
21803,0,0
19092,0,0
19092,0,0
21803,0,0
21803,0,0
19092,0,0
21803,0,0
21803,0,0
30000,0,0
30000,0,0
30000,0,0
36000,0,0
30000,0,0
37200,0,0
30000,0,0
36000,0,0
37200,0,0
30000,0,0
37200,0,0
36000,0,0
36000,0,0
30000,0,0
37200,0,0
36000,0,0
30000,0,0
36000,0,0
36000,0,0
37200,0,0
36000,0,0
36000,0,0
37200,0,0
36000,0,0
107634,16753,0
136966,14986,0
104189,50142,0
104402,23383,0
107840,47075,0
104608,42470,0
107931,42190,0
136966,13780,0
193214,114987,0
107931,42190,0
193732,30465,0
29000,0,0
29000,0,0
20210,0,0
11118,0,0
11118,0,0
11118,0,0
12350,0,0
12350,1,0
27000,0,0
27000,0,0
10000,0,0
10000,0,0
10000,0,0
10000,0,0
79755,18239,5737
108025,32891,3787
79755,25727,0
79755,14991,218
108025,66035,0
79000,0,0
98300,428,0
79000,0,0
68892,188,0
98180,70,0
81740,0,194
35220,0,0
35220,0,0
37480,0,0
37480,0,0
30400,0,0
30400,0,0
30400,0,0
30400,0,0
13500,0,0
36480,0,0
30400,0,0
37480,0,0
30400,0,0
37480,0,0
30400,0,0
37480,0,0
72337,375,2511
72444,106,0
77848,0,0
70337,1391,2529
66423,0,2664
85088,0,0
73424,46,0
84704,0,0
82724,33,1852
73244,0,0
71109,104,3055
73314,114,0
83719,0,0
70764,19,957
73634,62,0
73000,4,0
78004,20,0
58924,0,698
69419,1,1532
59414,7,0
64400,0,0
86800,173,0
64400,190,0
64400,59,0
64400,1128,0
64400,431,0
64400,208,0
64400,565,0
64400,0,0
64400,1579,0
64400,13,0
64400,43,0
64400,210,0
43606,0,0
43606,0,0
43606,0,0
38184,0,0
43606,0,0
38184,0,0
60000,0,0
72000,0,0
73200,0,0
73200,0,0
60000,0,0
73200,0,0
73200,0,0
126608,39954,0
213861,67964,0
43004,0,0
43004,0,0
159510,33216,0
120700,2100,0
52830,0,0
52830,0,0
52830,0,0
52830,0,0
52830,0,0
52830,0,0
56220,0,0
40500,0,0
56220,0,0
40500,0,0
56220,0,0
45600,0,0
45600,0,0
54980,0,0
40500,0,0
40500,0,0
40500,0,0
54980,0,0
40500,0,0
56220,0,0
56220,0,0
56220,0,0
40500,0,0
55220,0,0
40500,0,0
40500,0,0
40500,0,0
54980,0,0
56220,0,0
122849,0,0
107090,133,0
116827,130,0
106955,472,5334
101729,568,3821
136854,0,4386
98048,0,0
125837,64,0
107620,1505,0
104148,34,0
118898,20,0
96600,884,0
130200,0,0
96600,119,0
103800,1352,0
130200,451,0
96600,368,0
96600,0,0
96600,318,0
86800,137,0
96600,107,0
96600,40,0
96600,2230,0
103800,95,0
130200,0,0
96600,1828,0
96600,18,0
96600,326,0
96600,559,0
96600,1105,0
96600,0,0
96600,0,0
96600,397,0
96600,833,0
130200,0,0
65409,0,0
65409,0,0
57276,0,0
65409,0,0
65409,0,0
57276,0,0
57276,0,0
65409,0,0
57276,0,0
57276,0,0
65409,0,0
65409,0,0
57276,0,0
57276,0,0
57276,0,0
57276,0,0
57276,0,0
90000,0,0
90000,0,0
138000,0,0
138000,0,0
109200,0,0
33354,0,0
33354,0,0
33354,0,0
33354,0,0
33354,0,0
33354,0,0
33354,0,0
33354,0,0
30000,0,0
239265,70464,0
79544,0,0
79544,0,0
146200,0,0
146200,11,0
70440,0,0
70440,0,0
70440,0,0
70440,0,0
54000,0,0
60800,0,0
60800,0,0
74960,0,0
74960,0,0
54000,0,0
74960,0,0
54000,0,0
60800,0,0
60800,0,0
47000,0,0
74960,0,0
142952,153,6943
164811,0,0
125284,31,0
155101,225,1540
136041,484,366
143189,24,0
137929,575,0
185611,125,0
156705,111,0
165940,104,180
144521,276,704
156861,5,0
140058,119,0
189366,0,0
201956,5,0
137741,209,2448
159711,1272,4337
144162,593,2230
154589,24,0
561174,3711,0
175495,5,6610
144598,5,0
183058,0,0
154028,112,0
164356,19,0
173600,1861,0
173600,0,0
128800,505,0
173600,36,0
128800,0,0
128800,387,0
173600,509,0
128800,165,0
128800,1591,0
138400,0,0
173600,0,0
128800,8,0
128800,82,0
87212,0,0
76368,0,0
76368,0,0
87212,0,0
145200,0,0
120000,0,0
145200,0,0
120000,0,0
170239,0,1286
44472,0,0
44472,0,0
50400,0,0
67200,0,0
432100,153735,0
424400,243523,0
470180,173084,0
470180,171992,0
88050,0,0
88050,0,0
88050,0,0
64000,0,0
76000,0,0
64000,0,0
76000,0,0
93700,0,0
93700,0,0
76000,0,0
67500,0,0
93700,0,0
93700,0,0
47000,0,0
67500,0,0
93700,0,0
93700,0,0
76000,0,0
54000,0,0
73960,0,0
178092,471,0
219754,99,0
164357,62,2205
173288,4,0
219154,24,0
179325,90,0
494650,31037,37
179937,136,0
155745,42,0
183219,8,0
214834,155,0
182492,0,7649
179711,128,0
199330,52,0
173090,33,0
237436,109,4105
243490,0,0
175729,54,0
208982,460,0
165519,50,301
170187,0,0
170921,27,0
161000,1612,0
173000,0,0
161000,1845,0
161000,1226,0
161000,1674,0
173000,0,0
217000,139,0
217000,0,0
161000,832,0
95460,0,0
230000,0,0
230000,0,0
213845,0,1785
55590,0,0
22500,0,0
22500,0,0
105660,0,0
105660,0,0
105660,0,0
105660,0,0
112440,0,0
91200,0,0
91200,0,0
91200,0,0
81000,0,0
91200,0,0
112440,0,0
112440,0,0
91200,0,0
112440,0,0
112440,0,0
91200,0,0
112440,0,0
77500,0,0
112440,0,0
112440,0,0
229852,174,3035
279180,86,7332
218358,0,0
244614,0,310
213159,0,6981
215633,2,0
204199,0,1316
597376,65896,24545
220146,0,2309
196685,34,7586
218579,0,0
208319,122,0
204040,121,7850
207600,0,0
303800,391,0
260400,8,0
193200,889,0
260400,497,0
260400,0,0
260400,1786,0
260400,1409,0
114552,0,0
95460,0,0
114552,0,0
114552,0,0
114552,0,0
377317,125368,0
743355,367675,0
820366,460413,0
375089,66319,0
820366,465747,0
66708,0,0
280000,0,0
280000,0,0
123270,0,0
123270,0,0
131180,0,0
106400,0,0
106400,0,0
131180,0,0
106400,0,0
106400,0,0
289418,123,0
235841,0,0
211673,94,0
283069,314,5234
226041,495,0
252096,89,0
338785,694,0
248921,9,0
217873,34,0
325178,4,0
238540,57,0
247363,608,4252
322848,2692,9568
342206,193,0
324021,0,0
245606,0,3916
286418,10,0
294120,327,9567
247173,51,9150
254324,1,0
225400,688,0
303800,3842,0
303800,1096,0
242200,0,0
303800,3608,0
242200,0,0
225400,76,0
77826,0,0
77826,0,0
77826,0,0
910573,433940,3085
1190777,579794,3949
308200,0,0
308200,0,870
140880,0,0
149920,0,0
131180,0,0
149920,0,0
263688,393,1614
282418,24,1027
284532,500,9731
286022,1089,9567
320716,47,0
278722,62,0
272353,24,0
374632,4189,4546
347727,55,4840
286781,8,0
287522,0,0
284735,458,1102
374573,305,7313
347200,1918,0
257600,817,0
257600,1092,0
257600,1610,0
257600,1273,0
257600,2813,0
257600,208,0
257600,284,0
347200,1163,0
152736,0,0
240000,0,0
240000,0,0
1552063,147267,0
88944,0,0
88944,0,0
88944,0,0
909000,0,0
909000,0,0
360000,0,0
909000,0,0
360000,0,0
909000,0,0
67500,0,0
90000,0,0
118000,0,0
136800,0,0
121500,0,0
168660,0,0
136800,0,0
168660,0,0
136800,0,0
310348,38,3161
328654,404,2685
366721,81,9963
330697,679,11574
325299,3,0
306134,395,10049
314071,224,0
289800,882,0
390600,8211,0
390600,2897,0
390600,3031,0
289800,219,0
270000,0,0
746460,297183,13732
152000,0,0
135000,0,0
152000,0,0
152000,0,0
135000,0,0
364649,178,5254
363084,509,8159
358429,1925,0
399617,56,0
316431,131,0
330439,110,0
362195,501,5817
433068,259,1960
438317,255,0
349081,0,0
346000,3391,0
322000,321,0
434000,1259,0
380600,2736,0
322000,1541,0
346000,2418,0
322000,5484,0
190920,0,0
300000,0,0
300000,0,0
300000,0,0
1057707,247774,0
1253301,932323,0
111180,0,0
111180,0,0
4500,0,0
4500,0,0
16000,0,0
14400,0,0
378906,1607,0
148500,0,0
439369,78,3181
400501,147,0
394420,384,1871
399135,763,3248
505928,0,6198
471648,351,0
457245,1621,11123
453758,318,0
477400,2751,0
354200,9031,0
477400,88,0
354200,1139,0
330000,0,0
330000,0,0
122298,0,0
486200,0,0
486200,0,0
211320,0,0
211320,0,0
158500,0,0
470394,3504,4317
427827,186,6256
487206,79,10278
408503,616,8809
458261,90,0
470478,37,6299
432929,500,7881
386400,2576,0
761644,147172,0
133416,0,0
1313000,0,0
1313000,0,0
447798,4,0
241380,0,0
172000,0,0
441252,719,8615
580110,4017,0
520827,187,0
534595,243,8853
535027,357,0
460703,285,16658
555504,5,3446
453556,484,173
458537,2,64
390000,0,0
471600,0,0
390000,0,0
471600,0,0
390000,0,0
390000,0,0
390000,0,0
390000,0,0
821902,540673,0
185500,0,0
503832,405,0
577161,56,1459
548961,111,1
569672,20,0
440142,2188,1588
576876,47,34416
582620,81,0
589824,12,0
450800,8741,0
607600,4467,0
644000,0,0
644000,0,0
228000,0,0
199000,0,0
228000,0,0
537403,217,0
609778,70,8661
668947,27,37245
578658,435,15902
267288,0,0
543600,0,0
543600,0,0
2590926,1163906,0
166770,0,0
166770,0,0
166770,0,0
271500,0,0
271500,0,0
785440,690,365
212500,0,0
641859,316,0
545897,615,6609
491612,0,0
606415,437,8373
643870,182,13668
305472,0,0
578400,0,0
578400,0,0
480000,0,0
480000,0,0
480000,0,0
480000,0,0
1013557,317135,0
1013764,321148,0
1012365,482374,0
2753758,1382593,0
1013557,660324,0
177888,0,0
177888,0,0
32000,0,0
32000,0,0
898280,285,0
848520,926,1925
299370,0,0
258400,0,0
318580,0,0
258400,0,0
318580,0,0
258400,0,0
557128,252,8621
718383,466,0
837542,503,8119
800721,113,2806
619723,287,2039
590285,87,0
638180,791,5323
723450,1632,15235
772241,145,0
547400,3577,0
510000,0,0
612000,0,0
510000,0,0
614400,0,0
189006,0,0
337320,0,0
273600,0,0
336080,0,0
273600,0,0
334840,0,0
773884,546,0
738198,1405,18722
632007,2694,3387
614952,517,1185
769195,303,8184
737711,361,0
644372,190,0
654372,2929,16797
646522,1156,1283
586479,342,14959
806903,983,23360
781200,2500,0
324564,0,0
200124,0,0
200124,0,0
200124,0,0
1846385,567627,0
1849732,1175210,26302
1931611,856546,0
1926720,1399292,0
1932711,1331386,0
353580,0,0
356060,0,0
288800,0,0
629688,688,16317
663289,0,0
664139,1529,0
600835,324,0
814602,575,3060
799521,837,7032
673686,262,0
843265,684,24519
2143463,17245,2
622352,171,0
793158,413,0
646737,72,0
2244789,196833,858
689028,916,21458
362748,0,0
362748,0,0
362748,0,0
362748,0,0
362748,0,0
570000,0,0
1193619,738980,0
1201649,620058,0
2010808,1402901,0
352200,0,0
352200,0,0
334590,0,0
354800,0,0
304000,0,0
304000,0,0
266500,0,0
372320,0,0
304000,0,0
304000,0,0
354820,0,0
670867,1573,12928
682346,851,0
708842,822,0
719949,164,0
703814,12,0
833604,370,0
700428,1076,5556
722077,64,0
713797,918,10407
708101,311,1009
704610,1695,6890
686159,252,0
868000,14047,0
721200,0,0
721200,0,0
600000,0,0
1030890,3649,1757
352200,0,0
283500,0,0
319200,0,0
276500,0,0
372540,0,0
810902,348,37051
760416,182,0
