UNIQUE_CARRIER_NAME,UNIQUE_CARRIER
Mackey International Inc.,MAC
Munz Northern Airlines Inc.,XY
Cochise Airlines Inc.,COC
Golden Gate Airlines Inc.,GSA
Aeromech Inc.,RZZ
Golden West Airlines Co.,GLW
Puerto Rico Intl Airlines,PRN
Air America Inc.,STZ
Swift Aire Lines Inc.,SWT
American Central Airlines,TSF
Valdez Airlines,VEZ
Southeast Alaska Airlines,WEB
Altair Airlines Inc.,AAR
Chitina Air Service,CHI
Marco Island Airways Inc.,MRC
Caribbean Air Services Inc.,OHZ
Sundance Airlines,PRO
Seair Alaska Airlines Inc.,SAI
Southeast Airlines Inc.,SLZ
Alaska Aeronautical Indust.,AAZ
Imperial Airlines Inc.,IMP
Trans Western Airlines Utah,TWA
Wright Airlines Inc.,WRT
Presidential Express,COL
Mississippi Valley Airlines,MVA
Channel Flying Inc.,CHL
Rocky Mountain Airways Inc.,JCZ
Midstate Airlines Inc.,MIS
Sedalia Marshall Boonvl Stg,STG
Inlet Airlines,CKI
Command Airways Inc.,CMD
Emerald Airlines,EMA
Orion Air Inc.,ORI
Pan Am Express,RAN
Air Micronesia Inc.,AJ
Sunbird Inc.,SKI
Wings West Airlines,WWI
Southcentral Air Inc.,AND
Air Cargo Express Inc.,ACG
Associated Aviation Act.,AAA
Antilles Air Boats Inc.,AAB (1)
AAA Airlines,AAE
Argosy Air Lines Inc.,AAL
Air Bahia,ABH
Airbama Incorporated,ABI
Aeronaves Boringuena Inc.,ABO
Alaska Central Airways Inc.,ACA
Island Airlines Hawaii Inc.,ACH
AAA-Action Air Carrier Inc.,ACI
Air Cargo Enterprises Inc.,ACO
Air Chaparral Inc.,ACP
Alamo Commuter Airlines,ACS
Air Central Inc. (1),ACT
Air Central Inc.,ACK
Astec Air East Inc.,AEC
American Flag Airlines Inc.,AFA
Air Cargo America Inc.,AGA
All Island Air,AIA
Air Express Inc.,AIE
Air Mont. Inc.,AIM
Air Indiana,AIN
Air-Lift Associates Inc.,ALE
Brandt Air,ALI
All Seasons Air Pacific,ALL
North American Airlines Inc.,AMA
American Inter-Island Inc.,AMI
Air Nebraska Inc.,ANB
Airways Of New Mexico Inc.,ANM
Metro Air Northeast Vermont,ANO
Air North/Nenana,ANT
Trans New York,AOI
Arizona Pacific Inc.,API
Appalachian Flying Service,APL
Air Polynesia Inc.,APY
Arizona Aero Corp.,ARI
Arnold Aviation,ARN
Air Oregon,ARO
Arrowhead Airways Inc.,ARR
Amistad Airlines,ASD
Alpine Air Services Inc.,ASI
Asap Air Inc.,ASP
Astro Airways,AST
Air Atlantic Airlines Inc.,ATN
Pacific National Airways,ATO
Atlantis Airlines Inc.,ATS
Aerotransit Inc.,ATT
Air Carolina,ATX
Air Vectors Airways,AVA
Aero Virgin Islands Corp.,AVI
Aviation Services,AVS
Southern Jersey Airways,AVZ
Business Aircraft Corp.,BAC
Brennan & Hargreaves Inc.,BAH
Bankair Inc.,BAK
Bard-Air Corp.,BAR
Baja Cortez Airlines,BCA
Bennington Aviation Inc.,BEN
Beyer Aviation,BEY
Blackhawk Airways Inc.,BHK
Bighorn Airways Inc.,BHO
Birchwood Air Service,BIR
Bremerton Aviation Inc.,BMT
Boise Air Service,BOA
Brower Airways Inc.,BRO
Burlington Airways Inc.,BUR
Coleman Air Transport,CAC
Crawford Aviation Inc.,CAI
C & M Airlines,CAM
Metro Air Northeast N Y,CAP
Catalina Airlines Inc.,CAT
Air Virginia,CAV
Carriba Air Inc.,CBA
Cen-Tex Airlines Inc.,CEN
Century Airlines (Cal),CET
Chandler Flyer,CHD
Charter Airlines,CHE
Hammonds Commuter Air Serv.,CHF
Choi Aviation Inc.,CHO
Christman Air System,CHS
Cal Sierra Airlines,CIS
Centennial Airlines,CNN
Cotton Belt Aviation Inc.,COB
Coker Aviation Inc.,COK
Commutair,COM
Coral Air Inc.,COR
Cosmopolitan Comm. Airline,COS
Southeastern Commuter,COT
Courtesy Air Service Inc.,COU
Capitol Air Lines,CPA
Coastal Plains Commuter Inc.,CPC
Commuter Airlines,CRA
Crown Aviaiton Inc.,CRN
Crown Airways Inc.,CRO
Crested Butte Air Service,CRT
Catskill Airways Inc.,CSK
Century Airlines,CTA
Cothron Aviation,CTH
Catalina-Vegas Airlines,CVA
Danbury Airlines,DAN
Downeast Airlines Inc.,DEA
Decatur Aviation,DEC
DHL Airlines Inc.,DHL
Dickman Aviation Services,DIC
Desert Pacific Airways,DPA
Desert Pacific Airlines Inc.,DPI
Desert Airlines,DST
Executive Aviation Inc.,EAI
Eastern Caribbean Airways,EAS
Eastern Carolina Aviation,ECI
Ede Aire,EDE
Executive Four Winds,EFA
Eagle Commuter Airlines Inc.,EGL
East Hampton Aire Inc.,EHA
East. Indiana Aviation Sale,EIA
Air Pacific Inc.,EKA
Erie Airways Inc.,ERI
Empire Aero Service,ERO
Evanston Aviation,EVA
Federal Armored Service Inc.,FAR
Young Flying Service,FBI
Southern Airlines Inc.,FCA
Florida Airlines Inc.,FDA
Freedom Airlines Inc.,FDM
Flamenco Airways Inc.,FLM
Ford-Aire Inc.,FOR
Foster Aviation,FOS
Skycraft Inc.,FVA
Far West Airlines,FWA
General Aviation Inc.,GAS
Gromer Aviation Inc.,GAV
Central States Airline,GBA
Golden Carriage Aire,GCA
Midway Commuter,GCS
Green Hills Aviation Ltd.,GHA
Green Mountain Airlines Ltd.,GMA
Copper State Airlines,GOF
Isle Royale Seaplane Serv.,GRO
Golden South Airlines Inc.,GSL
Gull Air Inc.,GUL
Gunnel Aviation Inc.,GUN
Ross Aviation Inc.,GWE
Heussler Air Service Corp,HEU
Hensley Flying Service Inc.,HFS
Long Island Airlines,HMZ
Holiday Airlines Inc.,HOL
Iowa Airlines,HOR
Pacific Coast Airlines,HPZ
Trans-National Airlines Haw,HRA
Scenic Airlines Inc.,HSZ
Skystream Airlines,HUB
Hawking Corporation,HWK
Hyannis Aviation,HYA
Iowa City Flying Service,ICF
Idee Industries Inc.,III
Inland Empire Airlines Inc.,INA
Indiana Airways Inc. (Pa),IND
Indo-Pacific International,IPI
Island Airlines,ISL
Sunbelt Airlines Inc.,JAM
Air Chico,JCM
Jer-Don Air,JER
Knight Airlines Inc.,KAI
Key Airlines,KEE
Crown Air,KWZ
Chaparral Airlines Inc.,KXZ
Lancer Aviation Inc.,LAN
Lawrence Aviation,LAW
Havasu Airlines,LHA
Lakeland Aviation,LLA
Aero Commuter,LOS
Las Vegas Airlines,LVA
Magum Airlines,MAG
The Maui Commuter,MAI
Marshall's Air Inc.,MAR
Maxair Inc.,MAX
Mid Continental Airlines In,MCO
Metro Airlines,MDU
Metroplex Airlines,MET
Midway Aviation Inc.,MIY
Miller Air Transportersinc,MLL
Ocean Airways Inc.,MMH
Cumberland Airlines,MNZ
Merrimack Aviation Inc.,MRR
Midwest Aviation,MST
Arkansas Traveler Airline,MTA
Metroflight Airlines,MTR
National Air Commuter Inc.,NAC
New Born Wings Inc.,NEB
Nor East Commuter Airlines,NEC
Nevada Airlines,NEV
Northern Eagle Airways Inc.,NGL
Newair Flight Inc.,NHA
N. J. Merrimack Airlines,NJA
E. J. A. Newport Inc.,NPT
Northaire,NTH
Lake State Airways,NUM
New York Helicopter Corp.,NYH
Harbor Airlines Inc.,OAK
Ocean Reef Airways Inc.,OCR
Offshore Logistics,OFF
Omaha Aviation,OHA
Corporate Air Inc.,OIZ
Omak Aviation Airlines,OMK
Omni Pacific Airline,OMN
Sun Aire Lines,OOZ
Air Kentucky Air Lines,OWS
Permian Airways Inc.,PAI
Provincetown Boston,PBA
Piasa Commuter Airlines,PCA
Trans Southern Airways,PDA
Pearson Aircraft,PEA
Air Pennsylvania,PER
Petro Aviation Corp.,PET
Phillips Airlines,PHL
Phoenix Airlines,PHX
Pacific Island Airways,PIA
Planes Inc.,PLA
Polar Airways Inc.,PLZ
Pacific Missionary Aviation,PMA
Pioneer Airways,PNR
Pocono Airlines Inc.,POC
Pompano Airways,POM
Ponderosa Aviation Inc.,PON
Princeton Aviation Corp,PRA
Pro Air Services,PRR
Precision Valley Aviation,PVA
Bar Harbor Airways,QOZ
Royal-Air Ltd.,RAL
Realwest Airlines,REA
Aerosun International Airlines Inc.,RED
Royal Hawaiian Airways Inc.,RHA
Richardson Aviation,RIC
Indiana Airways Inc. (Reid,RID
Rio Airways Inc.,RIO
Riverside Air Service,RIV
Michigan Airways Inc.,RJS
Roederer Aviation Inc.,ROE
Royal American Airways Inc.,ROY
Air Rovers Inc.,RWG
Sajen Air Inc.,SAJ
Samoan Airlines Inc.,SAM
Air Cortez International,SAS
Air Americana,SAX
Saber Aviation Inc.,SBA
Suburban Airlines,SBN
Seaco Airlines Inc.,SCO
Skyline Airlines,SCT
South Coast Airways,SCY
Semo Aviation Inc.,SEM
Stahmannfarms Inc.,SFI
Sfo Helicopter Airlines Inc.,SFO
Sierra Flite Service Inc.,SFS
Shasta Air Inc.,SHS
Shavano Air Inc.,SHV
Silver State Airlines,SIA
San Juan Airlines Inc.,SJA
Bas Airlines,SKL
Scheduled Skyways,SKM
Stopher Mechanical Inc.,SMC
Gelco Courier Services Inc.,SNC
Shawnee Airlines,SNE
Mall Airways Inc.,SOA
Soonair Lines Inc.,SOL
Springfield Air Service,SPF
Sterling Air Service,SRL
Southern Seaplane,SSP
Sierra Express Inc.,SSS
Seaplane Shuttle Transport,SST
Trans East International,STF
Star Aviation Corporation,STR
Sun International Airways,SUI
Sunbelt,SUT
Sun Valley Airlines,SVL
Sunwest Airlines,SWA
Air Colorado,TAC
Tejas Airlines Inc.,TAL
Yosemite Airlines Inc.,TAS
Trans Catalina Airlines,TCA
Oceanair Line,TCE
Trans California Airlines,TCI
Trans-Central Airlines Inc.,TCL
Trans-Colorado Airlines,TCO
Tennessee Airways Inc.,TEN
Terre Haute Air Commuter,TER
Thorson Aviation,THO
Trans Air Inc.,TIA
Skyfreight,TIS
Trans Mo Airlines,TMA
Transtate Aviation,TNS
Trans Pennsylvania Airlines,TRP
Trans Sierra Airlines Inc.,TSI
Tulsair Beechcraft Inc.,TUL
Temsco Airlines,TYE
Universal Airways Inc.,UAI
Air U.S.,USA
Vagabond Aviation Inc.,VAG
Britt Airlines Inc.,VER
Viking Express,VIG
Vale International Airlines,VIN
Valley Airlines,VLY
Air East Airlines,WAC
Walker's International,WCA
Mountainwest Airlines,WCI
Western Star Airlines Inc.,WES
Western Charter Inc.,WET
Wheeler Airlines,WFS
Wisc Air,WIA
Will's Air,WIL
Wings Airways,WNG
Mcphillips Flying Service,ZFZ
Air New Mexico,ZIA
Winnipesaukee Aviation Inc.,ZMZ
Skyway Aviation Inc.,ZYZ
P.S. Air Freight Inc.,PSA
Reeve Aleutian Airways Inc.,RV (1)
Northwest Airlines Inc.,NW
Wien Air Alaska Inc.,WC
Southern Airways,FTI
Air Florida Inc.,QH
Air California Inc.,OC
Pacific Southwest Airlines,PS (1)
Rich International Airways,RIQ
Southwest Airlines Co.,WN
Mid-South Aviation Inc.,VL
Mid-South Aviation Inc. (1),RCA
Sky West Aviation Inc.,QG
Republic Airlines Inc.,RC
Dauphin Island Airways,DAU
New York Air Inc.,NY
Global International Airways Corp.,GIQ
Colgan Airways Inc.,CJ
Overseas National Airways,UNQ
Flight International,PTQ
Academy Airlines,ACD
Check-Air Inc.,ACL
Transwest Air Express,ACW
Airgo Inc.,AIG
American Air Transport,AMT
Bo-S-Aire Airlines Inc.,BOI
Combs Airways Inc.,CMB
Summit Airlines Inc.,DUZ
Eagle Aviation Inc.,EEZ
Falwell Aviation Inc.,FAA
Falcon Airways Inc.,FAC
Pinehurst Airlines Inc.,PHR
Great Western Airlines Inc.,ROS
Air Freight Express,RRT
S. S. Airways Inc.,SSA
Aero Union Corp,XAA
Air Express International Airlines,XAC
Central American International,XAJ
Michigan Peninsula Airways,XAT
WTC Airlines,XBF
Profit Airlines Inc.,XBH
CF Air Freight,XBI
International Air Service,XBJ
Aeronaves De Puerto Rico,XBQ
Allstates Air Cargo Inc.,XBR
Cam Air International Inc.,XAQ
Purolator Sky Courier Inc.,XAZ
Circle Airfreight Corp.,XBP
Pacific Alaska Airlines Inc.,XBT
Icb International Airlines,XBX
Cohlmia Aviation,XAM
Amerford Airways Inc.,XAE
Astro-Wing Airlines Inc.,XAF
Ball Brothers Inc.,XAG
Burlington Northern Inc.,XAI
Century Airlines Inc.,XAK
Dallas Flight Center,XAO
Jet Way Inc.,XAR
Klondike Air Inc.,XAS
Pat Air,XAY
Phh Air Inc.,XBM
Flight Line Inc.,XAU
Viking International Airlines Inc.,CGL
Capitol International Inc.,CL
Air Caravane Inc.,AEQ
Argo S. A.,AGQ
Norontair,AIQ
Alberta Northern Airlines,ALQ
Aviacion Y Comercio S.A.,AO
Air Bvi Limited,BLQ
Spantax S. A.,BXQ
Dan Air Services,DA
Maersk Air I/S,DM
Aerolineas Dominicanas S A,DOQ
Caribwest Airways Ltd.,DQQ
Execaire Aviation Ltd.,EBQ
Aero Trades (Western) Ltd.,ERQ
Fast Air Carrier Ltd. (1),FAQ
Business Flights Ltd.,HIQ
Tar Airlines,HRQ
Transavia Holland B. V.,HVQ
Iscargo Hf,ICQ
Tradewinds Airways Ltd.,IKQ
Aerlinte Eireann Teoranta,IN
Iran National Airlines Corp,IR
Inair,IXQ
Allarco Developments Ltd.,JXQ
Transmeridian Air Cargo Ltd.,KKQ
Kelowna Flightcraft Air Cha,KWQ
Liat (1974) Limited,LIQ
Millardair Limited,MAQ
Montana Austria Flugetrieb,MGQ
P.N. Merpati Nusantara Air.,MZ
North Cariboo Flying Serv.,NFQ
Norcanair,NKQ
Northward Airlines Ltd.,NN
North Coast Air Services,NSQ
National Aviation Consult.,NTQ
Air Niugini,NUQ
Nunasi-Central Airlines Ltd.,ONQ
Ontario Worldair Limited,OWQ
Pem-Air Limited,PD (1)
Eastern Provincial Airways,PV
Pacific Western Airlines,PW
Inter-Quebec (Intair),QB
Syrian Arab Airlines,RB
Aerotransportes Entre Rios,RSQ
Redcoat Air Cargo Limited,RY
Skycharter (Malton) Ltd.,SJQ
Superior Airways Limited,SSQ
Belize Airways Limited,ST
Skycraft Air Transport Inc.,STQ
Trans-Mediterranean Airways,TLQ
British Caribbean Airways,TXQ
Air Manila Inc.,UMQ
Avalon Aviation Ltd.,VOQ
Wardair Canada Inc.,WDQ
Gateway Aviation Limited,WGQ
Windward Islands Airways,WM
Nal Inc.,XBV
Yellow Bird Air,YBQ
Air Europe Limited,AE
Intair,ND
Yugoslav Airlines,JU (1)
Union De Transports Aeriens,UT
Air Haiti S. A.,HJ
Servicio Aereo De Honduras,SH
Sterling Airways A/S,NBQ
Aerolineas El Salvador S A,SZQ
Transp. Aereos Bolivianos,BOQ
Aeronaves Del Peru,ADQ
Compania Dominicana De Avia,DO
Nigeria Airways Ltd.,WT
Lineas Aereas Paraguayas,PZ
Lufthansa Cargo Airlines,GE
Venezuelan International Airways,VA (1)
Andes,ED
Compan. De Aviacion Faucett,CF
Aviateca,GU
Canadian Airlines International Ltd.,CP (1)
Guyana Airways Corporation,GY
Seagreen Air Transport,ESQ
Air Nauru,ON
Aero Peru,PL
Balair Ag,BBQ
Sabena Belgian World Air.,SN (1)
Air Afrique,RK
Air Canada,AC
Compagnie Natl Air France,AF
National Aviation Company of India Limited d/b/a Air India,AI
Aeromexico,AM
Aerolineas Argentinas,AR
Royal Air Maroc,AT
Aerovias Nacl De Colombia,AV
Finnair Oy,AY
Compagnia Aerea Italiana,AZ
British Airways Plc,BA
British Midland Airways Ltd.,BD
Caribbean Airlines Limited,BW
Air China,CA
China Airlines Ltd.,CI
Cargolux Airlines International S.A,CV
Icelandair,FI
Iberia Air Lines Of Spain,IB
Japan Air Lines Co. Ltd.,JL
Air Jamaica Limited,JM
Korean Air Lines Co. Ltd.,KE
Klm Royal Dutch Airlines,KL
Lan-Chile Airlines,LA
Lloyd Aereo Boliviano S. A.,LB
Lufthansa German Airlines,LH
Polskie Linie Lotnicze,LO
Lacsa,LR
Luftransport-Unternehmen,LT
El Al Israel Airlines Ltd.,LY
Compania Mexicana De Aviaci,MX
N. W. Territorial Airways,NWQ
Olympic Airways,OA
Polynesian Airlines Ltd.,PH
Pakistan International Airlines,PK
Philippine Airlines Inc.,PR
Surinam Airways Limited,PY
Qantas Airways Ltd.,QF
Varig S. A.,RG
Alia-(The) Royal Jordanian,RJ
Tarom Romanian Air Transpor,RO
South African Airways,SA
Scandinavian Airlines Sys.,SK
Singapore Airlines Ltd.,SQ
Aeroflot Russian Airlines,SU
Taca International Airlines,TA
Thai Airways International Ltd.,TG
Tap-Portuguese Airlines,TP
Bahamasair Holding Limited,UP
Transtar Airlines Corp.,MC
Heavylift Cargo Airlines Lt,HLQ
Ladeco,UC
Altus Airlines,ALT
Atlantic Air,ANC
Aero International Airlines,BAA
Northern Star,DIR
Skytrain,SKT
Trans Air Cargo Inc.,TGO
T-Bird Air Inc.,THQ
Royal West Airways Inc.,ROA
Air East Of Delaware Inc.,AED
Atlanta Express,ALX
Air New Orleans,AOR
Air Vermont Inc.,AVR
Dolphin Airways Inc.,DOL
Devoe Airlines,DVO
Golden Pacific Airlines,KIN
National Florida Airlines,NFA
Slocum Air Inc.,SLO
State Airlines Inc.,STA
Air Molakai,TRO
Williams Air Inc.,WIR
Mission Air,WSU
Guy-America Airways Inc.,HX (1)
Pacific Express,VB (1)
Northeastern International Airways,QS (1)
Friendship Air Alaska,HAR
Minuteman Aviation Inc.,MIN
Virgin Islands Seaplane,VIS
Flying Tiger Line Inc.,FT
Aerocondor,OD (1)
Emerald Airlines Inc.,OD
Northern Airlines Inc.,NRN
Pacific East Air Inc.,6P
Jet Charter Service Inc.,TJ
Aeroservicios Ecuatorianos,EOQ
Arista International Airlines Inc.,RAQ
Kuwait Airways Corp.,KU
Burlington Aeroplane Co.,BAY
Desert Sun Airlines,DSA
Lake Union Air Service,LAS
Aer Turas Teoranta,QTQ
Aero B Venezuela C.A.,AFQ
Air Ontario Limited,GX
Aer Lingus Plc,EI
Saudi Arabian Airlines Corp,SV
Air Polynesia d/b/a DHL Cargo,XAB
Air Natl Aircraft Sal & Ser,XBZ
A/S Conair,CIQ
Dash Air Corporation,ANI
Air Resorts Airlines,ARA
Manu'a Air Transport,MUA
Pacific Cal Air,PCL
Service Aviation Inc.,SER
The Time Machine,TTM
Servicio De Carga Aerea Sa,CMQ
Hapag Lloyd Flug.,HAQ
Air One Inc.,CB
Middle East Airlines S.A.L.,ME
Arcata Flying Service,AFS
Grand Canyon Airlines,GRD
Kodiak Airways Inc.,KOD
Mid-Atlantic Exp. Airlines,MAE
National Commuter Airlines,NCA
Sundorph Aeronautical Corp.,SAC
Waring Air,WAR
All Star Airlines Inc.,EP
Aeron International Airlines Inc.,AXQ
Jet Fleet Intl. Airlines,JIQ
Markair Express,HER
Alaska Island Air Inc.,LSZ
Air Sunshine Inc.,AAT
Eastman Airways Inc.,EAT
Spirit Helicopter,SPH
Air National,AHQ
Executive Charter,EXC (1)
Aviation Associates,SNA
Airmarc Airlines Inc.,ARM
Panorama Air Tours,PAT
Trans-Air-Link Corporation,TKQ
Audi Air Inc.,AAI
Galaxy Airlines Inc.,GAQ
Intl Air Service Co. Ltd.,IDQ
Transbrasil S.A.,TR (1)
Hawkins And Powers Aviation,XCA
Jet East Inc.,XBC
Air Sedona,ARS
Caribbean Express Inc.,CRE
Tri-State Airlines Inc.,TFZ
Frontier Horizon Inc.,FH
Aermediterranea S.P.A.,AWQ
Markair Inc.,BF
Air Tungaru Corporation,VK
Resort Airlines Inc.,RES
Alpine Air,AAV
Americair Inc.,AME
Airspur Helicopters Inc.,ARP
Silver Kris Services Ltd.,SKS
Buffalo Airways Inc.,BFQ
Aloha Airlines Inc.,AQ
Air Spirit Inc.,APS
Metro Express,EME
Frontier Commuter,FRT
Virgin Atlantic Airways,VS
Airmark Corporation,MKQ
Independent Air Inc.,INQ
Aerial Transit Company,TPQ
Westflight Aviation,WFT
Horizon Air,QX
Midway Express Airlines,2M
St. Lucia Airways Limited,SDQ
Hawaiian Airlines Inc.,HA
Pacific Air Express Inc.,XDA
Trump Air,RIA
North Pacific Airlines Inc.,NPA
Flirite Inc.,FLR
Talarik Creek Air Taxi,TAT
Royale Airlines Inc.,RAY
Worldways Canada Ltd.,WWQ
Air Charter (Safa),AQQ
Samoa Airlines Inc.,MB
Alpha Air,APH
Jetaire Airlines Inc.,JTA
Haiti Air,KB
Harbor Air Service,HSV
Continental Air Lines Inc.,CO
Interstate Airlines Inc.,IRQ
Hawaii Pacific Helicopters,CLD
Eastern Air Lines Inc.,EA
Chisum Flying Service,CSM
AvAir,AMR
Armstrong Air Service Inc.,AAP
Eagle Airline,EGA
Business Express Airlines,BEA
Alliance Airlines,ACN
Astor Air,ASR
West Penn Commuter,BAT
Barken International,BRK
Commuter Airlines (Ca),CMR
Cresent Medivac,CRH
Coastal Air Transport,CTL
Exec Express,EEX
La Skycab Airline,LAA
National Air,NAT
Omniflight Airways,OMI
Southern Express Airways,SEP
Turner Aire,TUR
AAR Western Skyways,WSK
Skybus Inc.,FW
Caicos Caribbean Airways,CUQ
Jet Express,BDE
Regent Air Corporation,4R
Westates Airlines,WTA
Action Airlines,AON
California Seaboard,CAF
Enterprise Airlines Inc.,ENT
Island Air Express,IEX
Maui Airlines,MAA
Metro Express 11,MEX
Otter Air,OTT
Prime Air Inc.,PRM
Sallee's Aviation,SAL
Wrangell Air Service,WGL
Atlantic Gulf Airlines,ZY
Skyworld Airlines Inc.,PKQ
Presidential Airways Inc.,XV
Caribbean Air Cargo Co Ltd.,DC
P.T. Garuda Indonesian Arwy,GA
Egyptair,MS
Bay Air,BYA
Five Star Airlines,FFQ
King Flying Service,KFS
Le Point Air,LEQ
Barrow Air,BRW
Big Island Air,BIA
Cityhop,CCA
GP Express Airlines,GPA
Iowa Airways,IOW
Mountain West Airlines,MWA
Resort Commuter,RSC
Texas National Airlines,TXA
Air Hawaii,AHC
Aerotal,XK
Air L.A.,ALS
Aero Coach,AEO
Air Link Airways,ALK
Million Air,BFG
Helitrans,HEL
La Helicopter,LAH
Omniflight Helicopters,OMH
Reeves Air,RVA
Compania Panamena (Copa),CM
Zas Airline Of Egypt,ZAQ
Polar International,POL
Hemisphere Air Charter,XDC
Airways International,AIT
Chicago Airlines,CGA
Royal West Airlines,YM
Airpac Inc.,XYZ
Aerovias Venezolanas-Avensa,VE
Cathay Pacific Airways Ltd.,CX
Galena Air Service,GAL
Stateswest Airlines,STW
Executive Transport,EXR
Propheter Aviation,PRP
Wise Airlines Inc.,WAI
Haines Airways,HNS
Great American Airways,FDQ
Air Puerto Rico Airlines,FD
Viacao Aerea Sao Paulo,VP
Delta Air Lines Inc.,DL
All Nippon Airways Co.,NH
International Parcel Express Inc.,XDD
Anglo Airlines Ltd.,AZQ
Midcontinent Airlines,MDC
Malaysian Airline System,MH
Pilgrim Aviation & Airlines,PMT
Florida Express Inc.,ZO
Orion Air,OPQ
Nationair,NAQ
Air Cape,APE
Lake Coastal,LCT
Mst Aviation,MTV
First Air,7F
Transportes Aereos De Cabo,VR
American Airlines Inc.,AA
Air Charter Systems (Acs),WAQ
Helitac Aviation,HET
Belize Air International Ltd.,BM
Highland Express Airways,VY
Mid Pacific Airlines Inc.,MPA
Aero Tranportes Panamenos,ATQ
Millon Air Inc.,LBQ
Air Caribe International,ARB
Air South (1),ASU
Air South,ASH
Bangor International Air,BAN
Chester County Aviation,CCO
East Coast Airways,ECR
Hub Express,HEP
Tropical Helicopter Airways,THA
Turk Hava Yollari A.O.,TK
Piedmont Aviation Inc.,PI
Air Train Inc.,XDE
Haiti Air Freight Intl,HFQ
Ketchikan Air Service,KET
Salair Inc.,XDF
Npa Inc.,NAP
Air America,GM
Time Air Ltd.,KI
Nippon Cargo Airlines,KZ
Seagull Air Service,SEG
Nasville Eagle,NAS
Aleutian Air,ALU
Custom Air Service,CUS
GCS Air Service,GSC
Golden State Airlines,GST
Springdale Air,SPG
Sportsman Flying Service,SPR
Saeta Airlines,EH
Aerolineas Mundo,MUQ
Tropical Airways Inc.,GG (1)
Grenada Airways Ltd.,GG (2)
Mid Pacific Air Corp.,MPC
Exec Express II,EET
Taquan Air Service,TAQ
Chartair,CTR
Laredo Air,LAR
Qwest Commuter,QWE
Tri Air Freight,TAF
Wra Inc.,WRA
Zambia Airways Corp.,Q2
Swissair Transport Co. Ltd.,SR
Airlift International,ARD
Pacair,PCR
Bradley Air Services Ltd.,BCQ
Corse Air International,CYQ
Iraqi Airways,IA
Monarch Airlines,ZB
Vacationair,VAQ
Lineas Aereas La-Tur Sa,LUQ
Holidair Airways,HOQ
Aerovias S.A.,AOQ
Alas De Transporte International,APQ
Transamerica Airlines Inc.,TV (1)
Haiti Trans Air,TV
Canadian Aviation Express,CWQ
